"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099063","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111099063","GO:0006457","protein folding",130,16,6.23,0.00014,"Biological Processes",0.123076923076923,"CASE"
"LOC111099067","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",14,3,0.67,0.02688,"Biological Processes",0.214285714285714,"CASE"
"LOC111099093","GO:0060271","cilium assembly",165,19,7.91,0.02308,"Biological Processes",0.115151515151515,"CASE"
"LOC111100196","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100196","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100196","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100197","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100197","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100197","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100239","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100239","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100239","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100242","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100242","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100242","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100257","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100257","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100268","GO:1902600","proton transmembrane transport",89,10,4.27,0.03257,"Biological Processes",0.112359550561798,"CASE"
"LOC111100412","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100412","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100412","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100451","GO:0006457","protein folding",130,16,6.23,0.00014,"Biological Processes",0.123076923076923,"CASE"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.05,0.04794,"Biological Processes",1,"CASE"
"LOC111100547","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",14,3,0.67,0.02688,"Biological Processes",0.214285714285714,"CASE"
"LOC111100549","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100549","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100549","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100630","GO:0006883","cellular sodium ion homeostasis",5,2,0.24,0.02084,"Biological Processes",0.4,"CASE"
"LOC111100630","GO:0030007","cellular potassium ion homeostasis",5,2,0.24,0.02084,"Biological Processes",0.4,"CASE"
"LOC111100630","GO:0036376","sodium ion export across plasma membrane",5,2,0.24,0.02084,"Biological Processes",0.4,"CASE"
"LOC111100630","GO:1990573","potassium ion import across plasma membrane",16,3,0.77,0.03853,"Biological Processes",0.1875,"CASE"
"LOC111100708","GO:0006412","translation",636,67,30.49,0.00129,"Biological Processes",0.105345911949686,"CASE"
"LOC111100768","GO:1901006","ubiquinone-6 biosynthetic process",1,1,0.05,0.04794,"Biological Processes",1,"CASE"
"LOC111100788","GO:0048024","regulation of mRNA splicing, via spliceosome",26,5,1.25,0.01017,"Biological Processes",0.192307692307692,"CASE"
"LOC111100882","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100882","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100883","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100883","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100883","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100924","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100924","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111100924","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111100927","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111100927","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111101020","GO:0048024","regulation of mRNA splicing, via spliceosome",26,5,1.25,0.01017,"Biological Processes",0.192307692307692,"CASE"
"LOC111101057","GO:0006457","protein folding",130,16,6.23,0.00014,"Biological Processes",0.123076923076923,"CASE"
"LOC111101063","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111101063","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111101168","GO:0003341","cilium movement",51,12,2.44,0.00479,"Biological Processes",0.235294117647059,"CASE"
"LOC111101168","GO:0060285","cilium-dependent cell motility",20,7,0.96,0.01276,"Biological Processes",0.35,"CASE"
"LOC111101190","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111101190","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111101190","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111101543","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111101543","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111101543","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
