"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099063","GO:0000209","protein polyubiquitination",544,28,7.54,2e-09,"Biological Processes",0.0514705882352941,"CA"
"LOC111100129","GO:0006412","translation",636,33,8.82,0.00291,"Biological Processes",0.0518867924528302,"CA"
"LOC111100257","GO:0000209","protein polyubiquitination",544,28,7.54,2e-09,"Biological Processes",0.0514705882352941,"CA"
"LOC111100257","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,30,9.08,4.1e-09,"Biological Processes",0.0458015267175573,"CA"
"LOC111100268","GO:1902600","proton transmembrane transport",89,5,1.23,0.0079,"Biological Processes",0.0561797752808989,"CA"
"LOC111100630","GO:0006883","cellular sodium ion homeostasis",5,2,0.07,0.00186,"Biological Processes",0.4,"CA"
"LOC111100630","GO:0030007","cellular potassium ion homeostasis",5,2,0.07,0.00186,"Biological Processes",0.4,"CA"
"LOC111100630","GO:0036376","sodium ion export across plasma membrane",5,2,0.07,0.00186,"Biological Processes",0.4,"CA"
"LOC111100630","GO:1990573","potassium ion import across plasma membrane",16,2,0.22,0.02019,"Biological Processes",0.125,"CA"
"LOC111100924","GO:0000209","protein polyubiquitination",544,28,7.54,2e-09,"Biological Processes",0.0514705882352941,"CA"
"LOC111100924","GO:0017148","negative regulation of translation",250,20,3.47,2.9e-10,"Biological Processes",0.08,"CA"
"LOC111100924","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,30,9.08,4.1e-09,"Biological Processes",0.0458015267175573,"CA"
"LOC111100979","GO:0000209","protein polyubiquitination",544,28,7.54,2e-09,"Biological Processes",0.0514705882352941,"CA"
"LOC111100979","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,30,9.08,4.1e-09,"Biological Processes",0.0458015267175573,"CA"
"LOC111101074","GO:0000209","protein polyubiquitination",544,28,7.54,2e-09,"Biological Processes",0.0514705882352941,"CA"
"LOC111101074","GO:0017148","negative regulation of translation",250,20,3.47,2.9e-10,"Biological Processes",0.08,"CA"
"LOC111101074","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,30,9.08,4.1e-09,"Biological Processes",0.0458015267175573,"CA"
"LOC111101191","GO:0000209","protein polyubiquitination",544,28,7.54,2e-09,"Biological Processes",0.0514705882352941,"CA"
"LOC111101191","GO:0017148","negative regulation of translation",250,20,3.47,2.9e-10,"Biological Processes",0.08,"CA"
"LOC111101191","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,30,9.08,4.1e-09,"Biological Processes",0.0458015267175573,"CA"
"LOC111101543","GO:0000209","protein polyubiquitination",544,28,7.54,2e-09,"Biological Processes",0.0514705882352941,"CA"
