"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.01,0.012,"Biological Processes",1,"Convergent: CASE"
"LOC111103765","GO:0050821","protein stabilization",11,2,0.13,0.007,"Biological Processes",0.181818181818182,"Convergent: CASE"
"LOC111107274","GO:1990547","mitochondrial phosphate ion transmembrane transport",1,1,0.01,0.012,"Biological Processes",1,"Convergent: CASE"
"LOC111108307","GO:0042541","hemoglobin biosynthetic process",2,1,0.02,0.023,"Biological Processes",0.5,"Convergent: CASE"
"LOC111108307","GO:0048821","erythrocyte development",2,1,0.02,0.023,"Biological Processes",0.5,"Convergent: CASE"
"LOC111110098","GO:0009051","pentose-phosphate shunt, oxidative branch",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111111015","GO:0006116","NADH oxidation",4,1,0.05,0.046,"Biological Processes",0.25,"Convergent: CASE"
"LOC111111015","GO:0046168","glycerol-3-phosphate catabolic process",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111112160","GO:0043401","steroid hormone mediated signaling pathway",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111112160","GO:0048240","sperm capacitation",2,1,0.02,0.023,"Biological Processes",0.5,"Convergent: CASE"
"LOC111112160","GO:0051792","medium-chain fatty acid biosynthetic process",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111112160","GO:0051793","medium-chain fatty acid catabolic process",4,1,0.05,0.046,"Biological Processes",0.25,"Convergent: CASE"
"LOC111112296","GO:0007099","centriole replication",24,2,0.28,0.032,"Biological Processes",0.0833333333333333,"Convergent: CASE"
"LOC111116077","GO:0007271","synaptic transmission, cholinergic",22,2,0.26,0.035,"Biological Processes",0.0909090909090909,"Convergent: CASE"
"LOC111116974","GO:0032780","negative regulation of ATPase activity",1,1,0.01,0.012,"Biological Processes",1,"Convergent: CASE"
"LOC111119458","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111119458","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111119517","GO:0060623","regulation of chromosome condensation",1,1,0.01,0.012,"Biological Processes",1,"Convergent: CASE"
"LOC111119517","GO:0071922","regulation of cohesin loading",1,1,0.01,0.012,"Biological Processes",1,"Convergent: CASE"
"LOC111120699","GO:0003400","regulation of COPII vesicle coating",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111120699","GO:0070863","positive regulation of protein exit from endoplasmic reticulum",2,1,0.02,0.023,"Biological Processes",0.5,"Convergent: CASE"
"LOC111121400","GO:0006283","transcription-coupled nucleotide-excision repair",4,1,0.05,0.046,"Biological Processes",0.25,"Convergent: CASE"
"LOC111123997","GO:0055080","cation homeostasis",180,3,2.11,0.012,"Biological Processes",0.0166666666666667,"Convergent: CASE"
"LOC111124903","GO:0051085","chaperone cofactor-dependent protein refolding",22,2,0.26,0.027,"Biological Processes",0.0909090909090909,"Convergent: CASE"
"LOC111125421","GO:0007099","centriole replication",24,2,0.28,0.032,"Biological Processes",0.0833333333333333,"Convergent: CASE"
"LOC111125427","GO:0032456","endocytic recycling",17,2,0.2,0.016,"Biological Processes",0.117647058823529,"Convergent: CASE"
"LOC111125427","GO:0090382","phagosome maturation",4,2,0.05,0.012,"Biological Processes",0.5,"Convergent: CASE"
"LOC111125596","GO:0009142","nucleoside triphosphate biosynthetic process",48,2,0.56,0.035,"Biological Processes",0.0416666666666667,"Convergent: CASE"
"LOC111125622","GO:0051085","chaperone cofactor-dependent protein refolding",22,2,0.26,0.027,"Biological Processes",0.0909090909090909,"Convergent: CASE"
"LOC111125850","GO:0035499","carnosine biosynthetic process",2,1,0.02,0.023,"Biological Processes",0.5,"Convergent: CASE"
"LOC111126203","GO:0036444","calcium import into the mitochondrion",4,1,0.05,0.046,"Biological Processes",0.25,"Convergent: CASE"
"LOC111127007","GO:0035973","aggrephagy",2,1,0.02,0.023,"Biological Processes",0.5,"Convergent: CASE"
"LOC111127302","GO:0030224","monocyte differentiation",4,1,0.05,0.046,"Biological Processes",0.25,"Convergent: CASE"
"LOC111128753","GO:0055129","L-proline biosynthetic process",3,1,0.04,0.035,"Biological Processes",0.333333333333333,"Convergent: CASE"
"LOC111129175","GO:0010890","positive regulation of sequestering of triglyceride",1,1,0.01,0.012,"Biological Processes",1,"Convergent: CASE"
"LOC111129556","GO:0090251","protein localization involved in establishment of planar polarity",1,1,0.01,0.012,"Biological Processes",1,"Convergent: CASE"
"LOC111129841","GO:0050821","protein stabilization",11,2,0.13,0.007,"Biological Processes",0.181818181818182,"Convergent: CASE"
"LOC111131214","GO:0034498","early endosome to Golgi transport",2,1,0.02,0.023,"Biological Processes",0.5,"Convergent: CASE"
"LOC111131799","GO:0006107","oxaloacetate metabolic process",4,1,0.05,0.046,"Biological Processes",0.25,"Convergent: CASE"
"LOC111131799","GO:0006734","NADH metabolic process",8,2,0.09,0.046,"Biological Processes",0.25,"Convergent: CASE"
