gene_name	GeneOntologyIDs
LOC111099179	GO:0038023
LOC111099426	GO:0000976; GO:0005634; GO:0006357
LOC111099610	GO:0003713; GO:0005515; GO:0005634; GO:0005737; GO:0035329; GO:0045944
LOC111099690	GO:0009226; GO:0050577
LOC111099985	GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231
LOC111100197	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100516	GO:0004111; GO:0046314
LOC111100547	GO:0000463; GO:0003676; GO:0003724; GO:0005524; GO:0005730
LOC111100630	GO:0001671; GO:0005890; GO:0005890; GO:0006883; GO:0030007; GO:0036376; GO:1990573
LOC111100655	GO:0016624
LOC111102132	GO:0001055; GO:0003677; GO:0005665; GO:0006366
LOC111103275	GO:0005856
LOC111103614	GO:0004017; GO:0005524; GO:0005524; GO:0005737; GO:0005739; GO:0006139; GO:0006139; GO:0016887
LOC111103630	GO:0000815; GO:0005771; GO:0015031; GO:0032509; GO:0045324
LOC111103655	GO:0003723; GO:0016607; GO:0048786
LOC111103765	GO:0000774; GO:0005634; GO:0005737; GO:0005829; GO:0016020; GO:0050821; GO:0051087; GO:0051087
LOC111103862	GO:0005515
LOC111103940	GO:0000289; GO:0004535; GO:0005634; GO:0005737; GO:0030014
LOC111103995	GO:0005319; GO:0005515; GO:0006869
LOC111104775	GO:0000166; GO:0000724; GO:0003677; GO:0003887; GO:0003887; GO:0005634; GO:0016035; GO:0042276
LOC111105429	GO:0003723; GO:0003743; GO:0003743; GO:0005737; GO:0006413; GO:0006413
LOC111106073	GO:0005515
LOC111106378	GO:0005634; GO:0006357
LOC111106506	GO:0005515
LOC111106648	GO:0005524; GO:0005524; GO:0005634; GO:0032958; GO:0035299; GO:0035299
LOC111106649	GO:0005634; GO:0005737; GO:0008285; GO:0045930
LOC111107094	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111107163	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0035556
LOC111107264	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111107274	GO:0005315; GO:0005743; GO:1990547
LOC111107462	GO:0004697; GO:0005524; GO:0006468
LOC111107593	GO:0005635; GO:0005829; GO:0006606
LOC111107874	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111108307	GO:0003870; GO:0003870; GO:0005739; GO:0006783; GO:0030170; GO:0042541; GO:0048821
LOC111108678	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111108704	GO:0005509; GO:0005886; GO:0007154; GO:0007157; GO:0032991; GO:0045197
LOC111108878	GO:0005509; GO:0005509; GO:0030234
LOC111108931	GO:0003755
LOC111109553	GO:0005856
LOC111109634	GO:0004674; GO:0005524; GO:0005737; GO:0006468
LOC111109677	GO:0006357; GO:0008301
LOC111109745	GO:0003774; GO:0004100; GO:0005524; GO:0006038; GO:0016459; GO:0030428; GO:0071944
LOC111110081	GO:0005515; GO:0008270
LOC111110098	GO:0004345; GO:0004345; GO:0005829; GO:0006006; GO:0006006; GO:0009051; GO:0050661; GO:0050661
LOC111110571	GO:0016020; GO:0043066
LOC111110890	GO:0004930; GO:0004930; GO:0005886; GO:0007186; GO:0007186
LOC111110977	GO:0061709
LOC111110979	GO:0005886
LOC111111015	GO:0005829; GO:0005975; GO:0006116; GO:0009331; GO:0042803; GO:0046168; GO:0047952; GO:0051287
LOC111111073	GO:0005509
LOC111111171	GO:0003677; GO:0016593; GO:1990269
LOC111111431	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111111941	GO:0004725; GO:0005044; GO:0006470
LOC111111951	GO:0004725; GO:0006470
LOC111112160	GO:0003677; GO:0008126; GO:0008270; GO:0036126; GO:0043401; GO:0046464; GO:0047372; GO:0048240; GO:0051792; GO:0051793; GO:0097524
LOC111112216	GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0005886; GO:0007265; GO:0019003
LOC111112296	GO:0005813; GO:0007099
LOC111113172	GO:0005515; GO:0007165
LOC111113970	GO:0003341; GO:0008017; GO:0015630
LOC111114765	GO:0005515; GO:0008270
LOC111114829	GO:0000172; GO:0001682; GO:0003723
LOC111115247	GO:0005730; GO:0008168; GO:0070475
LOC111115975	GO:0003756; GO:0003756; GO:0005788; GO:0015035; GO:0034976
LOC111116077	GO:0007271; GO:0034394; GO:0043005; GO:0043025; GO:0043231
LOC111116264	GO:0005634; GO:0005737; GO:0008073; GO:0008073; GO:0045732
LOC111116971	GO:0003924; GO:0005525; GO:0006887; GO:0055037
LOC111116974	GO:0005739; GO:0032780; GO:0042030
LOC111116981	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111117359	GO:0005634; GO:0010468
LOC111117740	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111117904	GO:0005515; GO:0005886; GO:0007411; GO:0030424; GO:0098609
LOC111118011	GO:0003676; GO:0005634; GO:0006397; GO:0006511; GO:0008270; GO:0016567; GO:0061630
LOC111118083	GO:0003723; GO:0005515; GO:0005737; GO:0045087
LOC111118302	GO:0005515
LOC111118383	GO:0005515
LOC111118384	GO:0004791
LOC111118797	GO:0005634; GO:0015630; GO:0060271; GO:0060294; GO:0060294
LOC111118850	GO:0005509; GO:0005515; GO:0005737; GO:0005886; GO:0006897; GO:0016197
LOC111118939	GO:0005694; GO:0006357; GO:0043035
LOC111119206	GO:0005509; GO:0005509
LOC111119225	GO:0005634; GO:0005667; GO:0030374; GO:0035097; GO:0045944
LOC111119372	GO:0004715; GO:0005102; GO:0005524; GO:0006468; GO:0007169; GO:0030154; GO:0031234; GO:0045087
LOC111119390	GO:0005515; GO:0046872
LOC111119413	GO:0030431; GO:0032222; GO:1903818
LOC111119458	GO:0000472; GO:0000480; GO:0005515; GO:0005730; GO:0030686; GO:0032040; GO:0034511
LOC111119517	GO:0060623; GO:0071922
