"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111100481","GO:0061512","protein localization to cilium",28,1,0.02,0.0225,"Biological Processes",0.0357142857142857,"Convergent: CA"
"LOC111100979","GO:0000209","protein polyubiquitination",544,3,0.44,0.0085,"Biological Processes",0.00551470588235294,"Convergent: CA"
"LOC111100979","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,3,0.53,0.0141,"Biological Processes",0.00458015267175573,"Convergent: CA"
"LOC111105845","GO:0000209","protein polyubiquitination",544,3,0.44,0.0085,"Biological Processes",0.00551470588235294,"Convergent: CA"
"LOC111105845","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,3,0.53,0.0141,"Biological Processes",0.00458015267175573,"Convergent: CA"
"LOC111107328","GO:0003341","cilium movement",51,1,0.04,0.0406,"Biological Processes",0.0196078431372549,"Convergent: CA"
"LOC111107328","GO:0018094","protein polyglycylation",2,1,0,0.0016,"Biological Processes",0.5,"Convergent: CA"
"LOC111108653","GO:0032486","Rap protein signal transduction",3,1,0,0.0024,"Biological Processes",0.333333333333333,"Convergent: CA"
"LOC111108653","GO:0071320","cellular response to cAMP",2,1,0,0.0016,"Biological Processes",0.5,"Convergent: CA"
"LOC111108653","GO:2000301","negative regulation of synaptic vesicle exocytosis",2,1,0,0.0016,"Biological Processes",0.5,"Convergent: CA"
"LOC111117748","GO:0000209","protein polyubiquitination",544,3,0.44,0.0085,"Biological Processes",0.00551470588235294,"Convergent: CA"
"LOC111117748","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,3,0.53,0.0141,"Biological Processes",0.00458015267175573,"Convergent: CA"
"LOC111123806","GO:0045727","positive regulation of translation",24,1,0.02,0.0193,"Biological Processes",0.0416666666666667,"Convergent: CA"
"LOC111127708","GO:0070593","dendrite self-avoidance",27,1,0.02,0.0217,"Biological Processes",0.037037037037037,"Convergent: CA"
"LOC111134680","GO:0006890","retrograde vesicle-mediated transport, Golgi to ER",23,1,0.02,0.0185,"Biological Processes",0.0434782608695652,"Convergent: CA"
"LOC111137567","GO:0042446","hormone biosynthetic process",16,1,0.01,0.0129,"Biological Processes",0.0625,"Convergent: CA"
"LOC111137567","GO:0042448","progesterone metabolic process",6,1,0,0.0049,"Biological Processes",0.166666666666667,"Convergent: CA"
"LOC111100481","GO:0005929","cilium",215,2,0.19,0.015,"Cellular Components",0.00930232558139535,"Convergent: CA"
"LOC111107328","GO:0005929","cilium",215,2,0.19,0.015,"Cellular Components",0.00930232558139535,"Convergent: CA"
"LOC111123806","GO:0010494","cytoplasmic stress granule",14,1,0.01,0.012,"Cellular Components",0.0714285714285714,"Convergent: CA"
"LOC111134680","GO:0030134","COPII-coated ER to Golgi transport vesicle",40,1,0.04,0.035,"Cellular Components",0.025,"Convergent: CA"
"LOC111100979","GO:0061630","ubiquitin protein ligase activity",601,3,0.43,0.0081,"Molecular Functions",0.00499168053244592,"Convergent: CA"
"LOC111105845","GO:0061630","ubiquitin protein ligase activity",601,3,0.43,0.0081,"Molecular Functions",0.00499168053244592,"Convergent: CA"
"LOC111107328","GO:0070736","protein-glycine ligase activity, initiating",2,1,0,0.0014,"Molecular Functions",0.5,"Convergent: CA"
"LOC111108653","GO:0019003","GDP binding",12,1,0.01,0.0085,"Molecular Functions",0.0833333333333333,"Convergent: CA"
"LOC111117748","GO:0061630","ubiquitin protein ligase activity",601,3,0.43,0.0081,"Molecular Functions",0.00499168053244592,"Convergent: CA"
"LOC111123806","GO:0003730","mRNA 3'-UTR binding",18,1,0.01,0.0128,"Molecular Functions",0.0555555555555556,"Convergent: CA"
"LOC111127708","GO:0098632","cell-cell adhesion mediator activity",29,1,0.02,0.0205,"Molecular Functions",0.0344827586206897,"Convergent: CA"
"LOC111137567","GO:0004508","steroid 17-alpha-monooxygenase activity",6,1,0,0.0043,"Molecular Functions",0.166666666666667,"Convergent: CA"
"LOC111137567","GO:0047442","17-alpha-hydroxyprogesterone aldolase activity",6,1,0,0.0043,"Molecular Functions",0.166666666666667,"Convergent: CA"
