gene_name	GeneOntologyIDs
LOC111100419	GO:0005576; GO:0008270
LOC111100481	GO:0005929; GO:0061512
LOC111100979	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111105845	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111107328	GO:0003341; GO:0005929; GO:0018094; GO:0060271; GO:0070736
LOC111108653	GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0005886; GO:0019003; GO:0032486; GO:0032486; GO:0071320; GO:2000301
LOC111113186	GO:0005044
LOC111117748	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111118850	GO:0005509; GO:0005515; GO:0005737; GO:0005886; GO:0006897; GO:0016197
LOC111120507	GO:0003723; GO:0005829
LOC111121853	GO:0005615
LOC111123806	GO:0003730; GO:0005829; GO:0010494; GO:0045727
LOC111125227	GO:0016020; GO:0016020
LOC111127708	GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632
LOC111134680	GO:0000139; GO:0005783; GO:0005789; GO:0006888; GO:0006890; GO:0030134
LOC111135845	GO:0005509; GO:0005515
LOC111137535	GO:0000978; GO:0003700; GO:0005634; GO:0006357
LOC111137567	GO:0004508; GO:0005506; GO:0020037; GO:0042446; GO:0042448; GO:0047442
