"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111112733","GO:0006357","regulation of transcription by RNA polymerase II",904,6,2.63,0.0453,"Biological Processes",0.00663716814159292,"Convergent: SE"
"LOC111118809","GO:0006357","regulation of transcription by RNA polymerase II",904,6,2.63,0.0453,"Biological Processes",0.00663716814159292,"Convergent: SE"
"LOC111118809","GO:0050684","regulation of mRNA processing",32,2,0.09,0.017,"Biological Processes",0.0625,"Convergent: SE"
"LOC111118939","GO:0006357","regulation of transcription by RNA polymerase II",904,6,2.63,0.0453,"Biological Processes",0.00663716814159292,"Convergent: SE"
"LOC111119106","GO:0051568","histone H3-K4 methylation",10,1,0.03,0.0287,"Biological Processes",0.1,"Convergent: SE"
"LOC111121096","GO:0006357","regulation of transcription by RNA polymerase II",904,6,2.63,0.0453,"Biological Processes",0.00663716814159292,"Convergent: SE"
"LOC111129464","GO:0000278","mitotic cell cycle",258,3,0.75,0.0068,"Biological Processes",0.0116279069767442,"Convergent: SE"
"LOC111129464","GO:0051295","establishment of meiotic spindle localization",4,1,0.01,0.0116,"Biological Processes",0.25,"Convergent: SE"
"LOC111130239","GO:0032957","inositol trisphosphate metabolic process",1,1,0,0.0029,"Biological Processes",1,"Convergent: SE"
"LOC111131303","GO:0006357","regulation of transcription by RNA polymerase II",904,6,2.63,0.0453,"Biological Processes",0.00663716814159292,"Convergent: SE"
"LOC111133739","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",13,1,0.04,0.0372,"Biological Processes",0.0769230769230769,"Convergent: SE"
"LOC111134126","GO:0006357","regulation of transcription by RNA polymerase II",904,6,2.63,0.0453,"Biological Processes",0.00663716814159292,"Convergent: SE"
"LOC111134227","GO:0001732","formation of cytoplasmic translation initiation complex",4,1,0.01,0.0116,"Biological Processes",0.25,"Convergent: SE"
"LOC111134227","GO:0002188","translation reinitiation",3,1,0.01,0.0087,"Biological Processes",0.333333333333333,"Convergent: SE"
"LOC111135070","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle",10,1,0.03,0.0287,"Biological Processes",0.1,"Convergent: SE"
"LOC111135070","GO:0110032","positive regulation of G2/MI transition of meiotic cell cycle",10,1,0.03,0.0287,"Biological Processes",0.1,"Convergent: SE"
"LOC111135089","GO:0060294","cilium movement involved in cell motility",16,1,0.05,0.0455,"Biological Processes",0.0625,"Convergent: SE"
"LOC111135311","GO:0032456","endocytic recycling",17,1,0.05,0.0483,"Biological Processes",0.0588235294117647,"Convergent: SE"
"LOC111136921","GO:0015937","coenzyme A biosynthetic process",6,1,0.02,0.0173,"Biological Processes",0.166666666666667,"Convergent: SE"
"LOC111137486","GO:0000278","mitotic cell cycle",258,3,0.75,0.0068,"Biological Processes",0.0116279069767442,"Convergent: SE"
"LOC111137980","GO:0016255","attachment of GPI anchor to protein",7,1,0.02,0.0202,"Biological Processes",0.142857142857143,"Convergent: SE"
"LOC111099985","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111100561","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111107163","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111107163","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111109634","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111112733","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111112733","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111116264","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111116264","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111118809","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111119106","GO:0048188","Set1C/COMPASS complex",11,1,0.03,0.0319,"Cellular Components",0.0909090909090909,"Convergent: SE"
"LOC111120594","GO:0071565","nBAF complex",4,1,0.01,0.0117,"Cellular Components",0.25,"Convergent: SE"
"LOC111126300","GO:0030992","intraciliary transport particle B",16,1,0.05,0.0461,"Cellular Components",0.0625,"Convergent: SE"
"LOC111128139","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111128139","GO:0005854","nascent polypeptide-associated complex",3,1,0.01,0.0088,"Cellular Components",0.333333333333333,"Convergent: SE"
"LOC111128699","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111130239","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111130301","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111131212","GO:0045252","oxoglutarate dehydrogenase complex",6,1,0.02,0.0175,"Cellular Components",0.166666666666667,"Convergent: SE"
"LOC111131303","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111134126","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111134227","GO:0043614","multi-eIF complex",3,1,0.01,0.0088,"Cellular Components",0.333333333333333,"Convergent: SE"
"LOC111134227","GO:0071540","eukaryotic translation initiation factor 3 complex, eIF3e",2,1,0.01,0.0059,"Cellular Components",0.5,"Convergent: SE"
"LOC111134227","GO:0071541","eukaryotic translation initiation factor 3 complex, eIF3m",5,1,0.01,0.0146,"Cellular Components",0.2,"Convergent: SE"
"LOC111134425","GO:0005834","heterotrimeric G-protein complex",13,1,0.04,0.0376,"Cellular Components",0.0769230769230769,"Convergent: SE"
"LOC111135070","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111135070","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111135089","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111136507","GO:0032039","integrator complex",14,1,0.04,0.0405,"Cellular Components",0.0714285714285714,"Convergent: SE"
"LOC111136921","GO:0005634","nucleus",3481,14,10.25,0.0441,"Cellular Components",0.00402183280666475,"Convergent: SE"
"LOC111137486","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111137980","GO:0042765","GPI-anchor transamidase complex",7,1,0.02,0.0204,"Cellular Components",0.142857142857143,"Convergent: SE"
"LOC111138521","GO:0005737","cytoplasm",5140,22,15.13,0.0095,"Cellular Components",0.00428015564202335,"Convergent: SE"
"LOC111101228","GO:0043015","gamma-tubulin binding",11,1,0.02,0.0228,"Molecular Functions",0.0909090909090909,"Convergent: SE"
"LOC111107163","GO:0004707","MAP kinase activity",11,1,0.02,0.0228,"Molecular Functions",0.0909090909090909,"Convergent: SE"
