gene_name	GeneOntologyIDs
LOC111099218	GO:0005515
LOC111099985	GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231
LOC111100197	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100561	GO:0004197; GO:0004843; GO:0004843; GO:0005634; GO:0005829; GO:0016477; GO:0016579; GO:0016579
LOC111101228	GO:0005813; GO:0008017; GO:0008017; GO:0042802; GO:0043015
LOC111103020	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111103275	GO:0005856
LOC111103862	GO:0005515
LOC111107163	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0035556
LOC111109634	GO:0004674; GO:0005524; GO:0005737; GO:0006468
LOC111110485	GO:0004565; GO:0004565; GO:0005773; GO:0005975; GO:0005975
LOC111111073	GO:0005509
LOC111112733	GO:0003729; GO:0005634; GO:0005737; GO:0006357; GO:0048024
LOC111116264	GO:0005634; GO:0005737; GO:0008073; GO:0008073; GO:0045732
LOC111118809	GO:0003723; GO:0005634; GO:0006357; GO:0043565; GO:0050684
LOC111118939	GO:0005694; GO:0006357; GO:0043035
LOC111119106	GO:0000976; GO:0005515; GO:0048188; GO:0051568
LOC111119744	GO:0035091
LOC111119917	GO:0005741; GO:0005741; GO:0008308; GO:0008308; GO:0098656; GO:0098656
LOC111120594	GO:0007399; GO:0071565
LOC111120623	GO:0004725; GO:0006470; GO:0016020; GO:0016020; GO:0072657
LOC111120994	GO:0000027; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625
LOC111121096	GO:0000124; GO:0003713; GO:0006357
LOC111123556	GO:0005515
LOC111124392	GO:0005576; GO:0008061
LOC111124576	GO:0004222; GO:0006508
LOC111124673	GO:0003743; GO:0003924; GO:0005525
LOC111125384	GO:0030154
LOC111126300	GO:0005813; GO:0030992; GO:0031514; GO:0042073; GO:0042073; GO:0060271
LOC111128045	GO:0032589; GO:0050808
LOC111128139	GO:0005737; GO:0005854; GO:0005854; GO:0006612; GO:0051082
LOC111128699	GO:0005737; GO:0007165
LOC111128771	GO:0001786; GO:0005509; GO:0005544; GO:0014059; GO:0017156; GO:0017158; GO:0019905; GO:0030276; GO:0071277
LOC111129390	GO:0035556
LOC111129464	GO:0000278; GO:0000922; GO:0005515; GO:0007051; GO:0051295
LOC111129603	GO:0003950; GO:0005515
LOC111130239	GO:0000287; GO:0000287; GO:0005524; GO:0005524; GO:0005737; GO:0032957; GO:0032957; GO:0047325; GO:0047325; GO:0052725; GO:0052725; GO:0052726; GO:0052726
LOC111130301	GO:0004017; GO:0005524; GO:0005524; GO:0005737; GO:0006139; GO:0006139
LOC111130952	GO:0030431; GO:0032222; GO:1903818
LOC111131212	GO:0004149; GO:0006099; GO:0045252
LOC111131303	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0006357
LOC111133739	GO:0005783; GO:0006614; GO:0016020
LOC111134126	GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:0043565
LOC111134227	GO:0001732; GO:0002188; GO:0003729; GO:0003743; GO:0043614; GO:0071540; GO:0071541
LOC111134425	GO:0001664; GO:0003924; GO:0003924; GO:0005525; GO:0005834; GO:0007188; GO:0007188; GO:0031683; GO:0031683
LOC111135070	GO:0000086; GO:0004725; GO:0004725; GO:0005634; GO:0005737; GO:0006470; GO:0010971; GO:0110032
LOC111135089	GO:0005634; GO:0015630; GO:0060271; GO:0060294; GO:0060294
LOC111135311	GO:0003924; GO:0005525; GO:0005886; GO:0010008; GO:0032456
LOC111136507	GO:0032039; GO:0034472
LOC111136921	GO:0004594; GO:0004594; GO:0005524; GO:0005524; GO:0005634; GO:0005829; GO:0015937; GO:0015937
LOC111136931	GO:0016020
LOC111137486	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005200; GO:0005525; GO:0005525; GO:0005737; GO:0005874; GO:0005874
LOC111137980	GO:0016020; GO:0016020; GO:0016255; GO:0042765; GO:0042765
LOC111138521	GO:0004731; GO:0004731; GO:0005737; GO:0009116
