"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099067","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",14,3,0.7,0.02994,"Biological Processes",0.214285714285714,"Core: All Outliers"
"LOC111100121","GO:0007266","Rho protein signal transduction",18,4,0.9,0.01944,"Biological Processes",0.222222222222222,"Core: All Outliers"
"LOC111100196","GO:0000209","protein polyubiquitination",544,64,27.18,1.3e-10,"Biological Processes",0.117647058823529,"Core: All Outliers"
"LOC111100196","GO:0017148","negative regulation of translation",250,46,12.49,3.8e-14,"Biological Processes",0.184,"Core: All Outliers"
"LOC111100196","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,74,32.73,3.2e-12,"Biological Processes",0.112977099236641,"Core: All Outliers"
"LOC111100197","GO:0000209","protein polyubiquitination",544,64,27.18,1.3e-10,"Biological Processes",0.117647058823529,"Core: All Outliers"
"LOC111100197","GO:0017148","negative regulation of translation",250,46,12.49,3.8e-14,"Biological Processes",0.184,"Core: All Outliers"
"LOC111100197","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,74,32.73,3.2e-12,"Biological Processes",0.112977099236641,"Core: All Outliers"
"LOC111100239","GO:0000209","protein polyubiquitination",544,64,27.18,1.3e-10,"Biological Processes",0.117647058823529,"Core: All Outliers"
"LOC111100239","GO:0017148","negative regulation of translation",250,46,12.49,3.8e-14,"Biological Processes",0.184,"Core: All Outliers"
"LOC111100239","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,74,32.73,3.2e-12,"Biological Processes",0.112977099236641,"Core: All Outliers"
"LOC111100242","GO:0000209","protein polyubiquitination",544,64,27.18,1.3e-10,"Biological Processes",0.117647058823529,"Core: All Outliers"
"LOC111100242","GO:0017148","negative regulation of translation",250,46,12.49,3.8e-14,"Biological Processes",0.184,"Core: All Outliers"
"LOC111100242","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,74,32.73,3.2e-12,"Biological Processes",0.112977099236641,"Core: All Outliers"
"LOC111100412","GO:0000209","protein polyubiquitination",544,64,27.18,1.3e-10,"Biological Processes",0.117647058823529,"Core: All Outliers"
"LOC111100412","GO:0017148","negative regulation of translation",250,46,12.49,3.8e-14,"Biological Processes",0.184,"Core: All Outliers"
"LOC111100412","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,74,32.73,3.2e-12,"Biological Processes",0.112977099236641,"Core: All Outliers"
"LOC111100451","GO:0006457","protein folding",130,17,6.5,1.1e-05,"Biological Processes",0.130769230769231,"Core: All Outliers"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.05,0.04997,"Biological Processes",1,"Core: All Outliers"
"LOC111100546","GO:0006511","ubiquitin-dependent protein catabolic process",750,85,37.48,0.02388,"Biological Processes",0.113333333333333,"Core: All Outliers"
