"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099067","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",14,3,0.48,0.01129,"Biological Processes",0.214285714285714,"Core: CASE"
"LOC111100196","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100196","GO:0017148","negative regulation of translation",250,25,8.66,5.9e-06,"Biological Processes",0.1,"Core: CASE"
"LOC111100196","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100239","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100239","GO:0017148","negative regulation of translation",250,25,8.66,5.9e-06,"Biological Processes",0.1,"Core: CASE"
"LOC111100239","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100242","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100242","GO:0017148","negative regulation of translation",250,25,8.66,5.9e-06,"Biological Processes",0.1,"Core: CASE"
"LOC111100242","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100412","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100412","GO:0017148","negative regulation of translation",250,25,8.66,5.9e-06,"Biological Processes",0.1,"Core: CASE"
"LOC111100412","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100451","GO:0006457","protein folding",130,13,4.5,3.4e-05,"Biological Processes",0.1,"Core: CASE"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.03,0.03462,"Biological Processes",1,"Core: CASE"
"LOC111100547","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",14,3,0.48,0.01129,"Biological Processes",0.214285714285714,"Core: CASE"
"LOC111100549","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100549","GO:0017148","negative regulation of translation",250,25,8.66,5.9e-06,"Biological Processes",0.1,"Core: CASE"
"LOC111100549","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100630","GO:0006883","cellular sodium ion homeostasis",5,2,0.17,0.01116,"Biological Processes",0.4,"Core: CASE"
"LOC111100630","GO:0030007","cellular potassium ion homeostasis",5,2,0.17,0.01116,"Biological Processes",0.4,"Core: CASE"
"LOC111100630","GO:0036376","sodium ion export across plasma membrane",5,2,0.17,0.01116,"Biological Processes",0.4,"Core: CASE"
"LOC111100630","GO:1990573","potassium ion import across plasma membrane",16,3,0.55,0.0165,"Biological Processes",0.1875,"Core: CASE"
"LOC111100708","GO:0006412","translation",636,52,22.02,0.0243,"Biological Processes",0.0817610062893082,"Core: CASE"
"LOC111100788","GO:0048024","regulation of mRNA splicing, via spliceosome",26,4,0.9,0.00412,"Biological Processes",0.153846153846154,"Core: CASE"
"LOC111100882","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100882","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100883","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100883","GO:0017148","negative regulation of translation",250,25,8.66,5.9e-06,"Biological Processes",0.1,"Core: CASE"
"LOC111100883","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100924","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100924","GO:0017148","negative regulation of translation",250,25,8.66,5.9e-06,"Biological Processes",0.1,"Core: CASE"
"LOC111100924","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
"LOC111100927","GO:0000209","protein polyubiquitination",544,35,18.83,0.00056,"Biological Processes",0.0643382352941176,"Core: CASE"
"LOC111100927","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,43,22.68,7.1e-05,"Biological Processes",0.0656488549618321,"Core: CASE"
