"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099724","GO:0031591","wybutosine biosynthetic process",4,1,0.03,0.03391,"Biological Processes",0.25,"Core: CA"
"LOC111100630","GO:0006883","cellular sodium ion homeostasis",5,2,0.04,0.00072,"Biological Processes",0.4,"Core: CA"
"LOC111100630","GO:0030007","cellular potassium ion homeostasis",5,2,0.04,0.00072,"Biological Processes",0.4,"Core: CA"
"LOC111100630","GO:0036376","sodium ion export across plasma membrane",5,2,0.04,0.00072,"Biological Processes",0.4,"Core: CA"
"LOC111100630","GO:1990573","potassium ion import across plasma membrane",16,2,0.14,0.00812,"Biological Processes",0.125,"Core: CA"
"LOC111100924","GO:0000209","protein polyubiquitination",544,22,4.67,1.2e-09,"Biological Processes",0.0404411764705882,"Core: CA"
"LOC111100924","GO:0017148","negative regulation of translation",250,18,2.15,4.4e-12,"Biological Processes",0.072,"Core: CA"
"LOC111100924","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,24,5.62,1.7e-09,"Biological Processes",0.0366412213740458,"Core: CA"
"LOC111101074","GO:0000209","protein polyubiquitination",544,22,4.67,1.2e-09,"Biological Processes",0.0404411764705882,"Core: CA"
"LOC111101074","GO:0017148","negative regulation of translation",250,18,2.15,4.4e-12,"Biological Processes",0.072,"Core: CA"
"LOC111101074","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,24,5.62,1.7e-09,"Biological Processes",0.0366412213740458,"Core: CA"
"LOC111101191","GO:0000209","protein polyubiquitination",544,22,4.67,1.2e-09,"Biological Processes",0.0404411764705882,"Core: CA"
"LOC111101191","GO:0017148","negative regulation of translation",250,18,2.15,4.4e-12,"Biological Processes",0.072,"Core: CA"
"LOC111101191","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,24,5.62,1.7e-09,"Biological Processes",0.0366412213740458,"Core: CA"
"LOC111101543","GO:0000209","protein polyubiquitination",544,22,4.67,1.2e-09,"Biological Processes",0.0404411764705882,"Core: CA"
"LOC111101543","GO:0017148","negative regulation of translation",250,18,2.15,4.4e-12,"Biological Processes",0.072,"Core: CA"
"LOC111101543","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,24,5.62,1.7e-09,"Biological Processes",0.0366412213740458,"Core: CA"
"LOC111101967","GO:0000209","protein polyubiquitination",544,22,4.67,1.2e-09,"Biological Processes",0.0404411764705882,"Core: CA"
"LOC111101967","GO:0017148","negative regulation of translation",250,18,2.15,4.4e-12,"Biological Processes",0.072,"Core: CA"
"LOC111101967","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,24,5.62,1.7e-09,"Biological Processes",0.0366412213740458,"Core: CA"
"LOC111102426","GO:0006376","mRNA splice site selection",13,2,0.11,0.00536,"Biological Processes",0.153846153846154,"Core: CA"
"LOC111103020","GO:0000209","protein polyubiquitination",544,22,4.67,1.2e-09,"Biological Processes",0.0404411764705882,"Core: CA"
"LOC111103020","GO:0017148","negative regulation of translation",250,18,2.15,4.4e-12,"Biological Processes",0.072,"Core: CA"
"LOC111103020","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,24,5.62,1.7e-09,"Biological Processes",0.0366412213740458,"Core: CA"
"LOC111103322","GO:0006895","Golgi to endosome transport",5,1,0.04,0.04221,"Biological Processes",0.2,"Core: CA"
"LOC111104490","GO:0000209","protein polyubiquitination",544,22,4.67,1.2e-09,"Biological Processes",0.0404411764705882,"Core: CA"
"LOC111104490","GO:0017148","negative regulation of translation",250,18,2.15,4.4e-12,"Biological Processes",0.072,"Core: CA"
