LOC111099690	GO:0009226; GO:0050577
LOC111099724	GO:0005515; GO:0008175; GO:0030488; GO:0031591
LOC111099995	GO:0003989; GO:0003989; GO:0005524; GO:0006633; GO:0046872
LOC111100481	GO:0005929; GO:0061512
LOC111100630	GO:0001671; GO:0005890; GO:0005890; GO:0006883; GO:0030007; GO:0036376; GO:1990573
LOC111100655	GO:0016624
LOC111100924	GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101057	GO:0005737; GO:0006457; GO:0051082
LOC111101071	GO:0005515; GO:0008270
LOC111101074	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101191	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101543	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101552	GO:0030552; GO:0042383
LOC111101893	GO:0005515
LOC111101967	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111102335	GO:0003924; GO:0005525; GO:0005768; GO:0005794
LOC111102426	GO:0000381; GO:0003730; GO:0005634; GO:0005737; GO:0006376; GO:1990904
LOC111102753	GO:0005783; GO:0005794; GO:0016020; GO:2001234
LOC111102770	GO:0005634; GO:0005737; GO:0005876; GO:0051726
LOC111103020	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111103322	GO:0005768; GO:0005802; GO:0006895
LOC111103560	GO:0005524; GO:0007018; GO:0007018; GO:0008569; GO:0008569; GO:0030286; GO:0030286; GO:0045505; GO:0051959
LOC111103614	GO:0004017; GO:0005524; GO:0005524; GO:0005737; GO:0005739; GO:0006139; GO:0006139; GO:0016887
LOC111103862	GO:0005515
LOC111103885	GO:0005254; GO:0005737; GO:0006821; GO:0016324
LOC111104489	GO:0005515; GO:0005634; GO:0005829; GO:0008176; GO:0036265; GO:0036265; GO:0043527
LOC111104490	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111104835	GO:0003924; GO:0005096; GO:0005515; GO:0005525; GO:0005634
LOC111104878	GO:0008757
LOC111105198	GO:0008270
LOC111105701	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111105710	GO:0000127; GO:0006383
LOC111106073	GO:0005515
LOC111106696	GO:0000287; GO:0001561; GO:0003824; GO:0005777; GO:0030976; GO:0030976
LOC111106719	GO:0008270
LOC111106790	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111106830	GO:0005874; GO:0005929; GO:0008017; GO:0060271
LOC111106980	GO:0005515
LOC111107109	GO:0005507; GO:0005886; GO:0006826; GO:0016491; GO:0016491
LOC111107273	GO:0004739; GO:0005967; GO:0006086
LOC111107592	GO:0000209; GO:0043161; GO:0061630
LOC111107657	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111107727	GO:0003873; GO:0003873; GO:0004331; GO:0005524; GO:0005524; GO:0005829; GO:0006000; GO:0006003; GO:0006003
LOC111107786	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111107935	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111108439	GO:0002116; GO:0005515; GO:0007162; GO:0008045; GO:0008360; GO:0017154; GO:0017154; GO:0030334; GO:0043087; GO:0050772; GO:0097374; GO:1902287
LOC111108671	GO:0005515; GO:0008270
LOC111108684	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111110098	GO:0004345; GO:0004345; GO:0005829; GO:0006006; GO:0006006; GO:0009051; GO:0050661; GO:0050661
LOC111110549	GO:0000209; GO:0005515; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111110920	GO:0001669; GO:0005516
LOC111111431	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111111679	GO:0000209; GO:0000785; GO:0005515; GO:0005654; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0045893; GO:0061630
LOC111111852	GO:0005515; GO:0008270
LOC111112039	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111112113	GO:0003341; GO:0008017; GO:0015630
LOC111112117	GO:0030544; GO:0051082; GO:0061077
LOC111112130	GO:0007601
LOC111112624	GO:0016020; GO:0016263; GO:0016267
LOC111112758	GO:0016491
LOC111113075	GO:0030431; GO:0032222; GO:1903818
LOC111113172	GO:0005515; GO:0007165
LOC111113175	GO:0005044
LOC111113317	GO:0003774; GO:0005524; GO:0016459
LOC111114424	GO:0005044
LOC111114778	GO:0000028; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627
LOC111114829	GO:0000172; GO:0001682; GO:0003723
LOC111114913	GO:0005634; GO:0005737; GO:0005886; GO:0005912; GO:0007043; GO:0045296; GO:0098609
LOC111115225	GO:0005178; GO:0007160; GO:0007229; GO:0008305; GO:0008305; GO:0009897; GO:0033627; GO:0098609
LOC111115257	GO:0005829; GO:0010349
LOC111116158	GO:0005178; GO:0005925; GO:0007160; GO:0007229; GO:0008305; GO:0009986; GO:0016477; GO:0033627
LOC111117553	GO:0004500; GO:0005507
LOC111117607	GO:0003723; GO:0005634; GO:0006357; GO:0043565; GO:0050684
LOC111117740	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111117745	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111117877	GO:0005813
LOC111117904	GO:0005515; GO:0005886; GO:0007411; GO:0030424; GO:0098609
LOC111117972	GO:0005885; GO:0005885; GO:0015629; GO:0015629; GO:0034314; GO:0034314; GO:0051015
LOC111118132	GO:0003860; GO:0005739; GO:0006574
LOC111118152	GO:0033179; GO:0046961; GO:1902600
LOC111118786	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111119327	GO:0005509
LOC111119397	GO:0005262; GO:0005509; GO:0016020; GO:0016020; GO:0050982
