"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099108","GO:0016598","protein arginylation",2,1,0.04,0.0419,"Biological Processes",0.5,"Core: SE"
"LOC111100197","GO:0000209","protein polyubiquitination",544,32,11.51,1.8e-07,"Biological Processes",0.0588235294117647,"Core: SE"
"LOC111100197","GO:0017148","negative regulation of translation",250,23,5.29,1.5e-08,"Biological Processes",0.092,"Core: SE"
"LOC111100197","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,36,13.86,1.2e-07,"Biological Processes",0.0549618320610687,"Core: SE"
"LOC111100412","GO:0000209","protein polyubiquitination",544,32,11.51,1.8e-07,"Biological Processes",0.0588235294117647,"Core: SE"
"LOC111100412","GO:0017148","negative regulation of translation",250,23,5.29,1.5e-08,"Biological Processes",0.092,"Core: SE"
"LOC111100412","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,36,13.86,1.2e-07,"Biological Processes",0.0549618320610687,"Core: SE"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.02,0.0212,"Biological Processes",1,"Core: SE"
"LOC111100546","GO:0006511","ubiquitin-dependent protein catabolic process",750,43,15.87,0.0171,"Biological Processes",0.0573333333333333,"Core: SE"
"LOC111100598","GO:0006457","protein folding",130,9,2.75,0.0017,"Biological Processes",0.0692307692307692,"Core: SE"
"LOC111100882","GO:0000209","protein polyubiquitination",544,32,11.51,1.8e-07,"Biological Processes",0.0588235294117647,"Core: SE"
"LOC111100882","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,36,13.86,1.2e-07,"Biological Processes",0.0549618320610687,"Core: SE"
"LOC111100927","GO:0000209","protein polyubiquitination",544,32,11.51,1.8e-07,"Biological Processes",0.0588235294117647,"Core: SE"
"LOC111100927","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,36,13.86,1.2e-07,"Biological Processes",0.0549618320610687,"Core: SE"
"LOC111101050","GO:0048015","phosphatidylinositol-mediated signaling",14,3,0.3,0.0029,"Biological Processes",0.214285714285714,"Core: SE"
"LOC111101112","GO:0000209","protein polyubiquitination",544,32,11.51,1.8e-07,"Biological Processes",0.0588235294117647,"Core: SE"
"LOC111101112","GO:0017148","negative regulation of translation",250,23,5.29,1.5e-08,"Biological Processes",0.092,"Core: SE"
"LOC111101112","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,36,13.86,1.2e-07,"Biological Processes",0.0549618320610687,"Core: SE"
"LOC111101188","GO:0000209","protein polyubiquitination",544,32,11.51,1.8e-07,"Biological Processes",0.0588235294117647,"Core: SE"
"LOC111101188","GO:0017148","negative regulation of translation",250,23,5.29,1.5e-08,"Biological Processes",0.092,"Core: SE"
"LOC111101188","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,36,13.86,1.2e-07,"Biological Processes",0.0549618320610687,"Core: SE"
"LOC111101564","GO:0000209","protein polyubiquitination",544,32,11.51,1.8e-07,"Biological Processes",0.0588235294117647,"Core: SE"
"LOC111101564","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,36,13.86,1.2e-07,"Biological Processes",0.0549618320610687,"Core: SE"
