"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099108","GO:0016598","protein arginylation",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111100129","GO:0006412","translation",636,20,9.42,0.0131,"Biological Processes",0.0314465408805031,"Private: All Outliers"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111100630","GO:0006883","cellular sodium ion homeostasis",5,2,0.07,0.00212,"Biological Processes",0.4,"Private: All Outliers"
"LOC111100630","GO:0030007","cellular potassium ion homeostasis",5,2,0.07,0.00212,"Biological Processes",0.4,"Private: All Outliers"
"LOC111100630","GO:0036376","sodium ion export across plasma membrane",5,2,0.07,0.00212,"Biological Processes",0.4,"Private: All Outliers"
"LOC111100630","GO:1990573","potassium ion import across plasma membrane",16,2,0.24,0.02285,"Biological Processes",0.125,"Private: All Outliers"
"LOC111100768","GO:1901006","ubiquinone-6 biosynthetic process",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111102251","GO:0032509","endosome transport via multivesicular body sorting pathway",30,4,0.44,0.00723,"Biological Processes",0.133333333333333,"Private: All Outliers"
"LOC111102251","GO:0045324","late endosome to vacuole transport",35,4,0.52,0.01741,"Biological Processes",0.114285714285714,"Private: All Outliers"
"LOC111102380","GO:0006412","translation",636,20,9.42,0.0131,"Biological Processes",0.0314465408805031,"Private: All Outliers"
"LOC111102426","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",16,3,0.24,0.00156,"Biological Processes",0.1875,"Private: All Outliers"
"LOC111102426","GO:0006376","mRNA splice site selection",13,3,0.19,0.00082,"Biological Processes",0.230769230769231,"Private: All Outliers"
"LOC111103304","GO:0016239","positive regulation of macroautophagy",16,2,0.24,0.02285,"Biological Processes",0.125,"Private: All Outliers"
"LOC111103304","GO:0071233","cellular response to leucine",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111103304","GO:1901031","regulation of response to reactive oxygen species",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111103304","GO:1990253","cellular response to leucine starvation",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111103630","GO:0032509","endosome transport via multivesicular body sorting pathway",30,4,0.44,0.00723,"Biological Processes",0.133333333333333,"Private: All Outliers"
"LOC111103630","GO:0045324","late endosome to vacuole transport",35,4,0.52,0.01741,"Biological Processes",0.114285714285714,"Private: All Outliers"
"LOC111103668","GO:0050821","protein stabilization",11,2,0.16,0.01099,"Biological Processes",0.181818181818182,"Private: All Outliers"
"LOC111105474","GO:0001707","mesoderm formation",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111105474","GO:0003007","heart morphogenesis",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111106945","GO:0006334","nucleosome assembly",59,4,0.87,0.01128,"Biological Processes",0.0677966101694915,"Private: All Outliers"
"LOC111106953","GO:0060271","cilium assembly",165,11,2.44,0.00073,"Biological Processes",0.0666666666666667,"Private: All Outliers"
"LOC111107328","GO:0003341","cilium movement",51,5,0.76,0.04763,"Biological Processes",0.0980392156862745,"Private: All Outliers"
"LOC111107328","GO:0018094","protein polyglycylation",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111107328","GO:0060271","cilium assembly",165,11,2.44,0.00073,"Biological Processes",0.0666666666666667,"Private: All Outliers"
"LOC111107816","GO:0033211","adiponectin-activated signaling pathway",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111110034","GO:0060271","cilium assembly",165,11,2.44,0.00073,"Biological Processes",0.0666666666666667,"Private: All Outliers"
"LOC111110307","GO:0006699","bile acid biosynthetic process",3,1,0.04,0.04377,"Biological Processes",0.333333333333333,"Private: All Outliers"
"LOC111117970","GO:0007172","signal complex assembly",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111118348","GO:0006412","translation",636,20,9.42,0.0131,"Biological Processes",0.0314465408805031,"Private: All Outliers"
"LOC111118435","GO:0007015","actin filament organization",140,5,2.07,0.03028,"Biological Processes",0.0357142857142857,"Private: All Outliers"
"LOC111118435","GO:0030865","cortical cytoskeleton organization",17,2,0.25,0.02929,"Biological Processes",0.117647058823529,"Private: All Outliers"
"LOC111118435","GO:0032956","regulation of actin cytoskeleton organization",75,3,1.11,0.00315,"Biological Processes",0.04,"Private: All Outliers"
"LOC111118667","GO:0006621","protein retention in ER lumen",3,1,0.04,0.04377,"Biological Processes",0.333333333333333,"Private: All Outliers"
"LOC111119159","GO:0071076","RNA 3' uridylation",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111119190","GO:0033387","putrescine biosynthetic process from ornithine",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111119517","GO:0060623","regulation of chromosome condensation",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111119517","GO:0071922","regulation of cohesin loading",1,1,0.01,0.01481,"Biological Processes",1,"Private: All Outliers"
"LOC111119594","GO:1904825","protein localization to microtubule plus-end",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111119660","GO:1904491","protein localization to ciliary transition zone",4,2,0.06,0.00128,"Biological Processes",0.5,"Private: All Outliers"
"LOC111120134","GO:1904491","protein localization to ciliary transition zone",4,2,0.06,0.00128,"Biological Processes",0.5,"Private: All Outliers"
"LOC111120648","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",16,3,0.24,0.00156,"Biological Processes",0.1875,"Private: All Outliers"
"LOC111121105","GO:0006857","oligopeptide transport",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111121134","GO:0030433","ubiquitin-dependent ERAD pathway",48,3,0.71,0.03402,"Biological Processes",0.0625,"Private: All Outliers"
"LOC111121134","GO:0030970","retrograde protein transport, ER to cytosol",6,2,0.09,0.00315,"Biological Processes",0.333333333333333,"Private: All Outliers"
"LOC111121134","GO:0051228","mitotic spindle disassembly",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111121654","GO:0030433","ubiquitin-dependent ERAD pathway",48,3,0.71,0.03402,"Biological Processes",0.0625,"Private: All Outliers"
"LOC111121690","GO:0006334","nucleosome assembly",59,4,0.87,0.01128,"Biological Processes",0.0677966101694915,"Private: All Outliers"
"LOC111121712","GO:0032956","regulation of actin cytoskeleton organization",75,3,1.11,0.00315,"Biological Processes",0.04,"Private: All Outliers"
"LOC111121712","GO:0035020","regulation of Rac protein signal transduction",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111121745","GO:0006376","mRNA splice site selection",13,3,0.19,0.00082,"Biological Processes",0.230769230769231,"Private: All Outliers"
"LOC111121848","GO:0006412","translation",636,20,9.42,0.0131,"Biological Processes",0.0314465408805031,"Private: All Outliers"
"LOC111122426","GO:0006334","nucleosome assembly",59,4,0.87,0.01128,"Biological Processes",0.0677966101694915,"Private: All Outliers"
"LOC111122730","GO:0009948","anterior/posterior axis specification",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111124399","GO:0070286","axonemal dynein complex assembly",23,3,0.34,0.00902,"Biological Processes",0.130434782608696,"Private: All Outliers"
"LOC111124838","GO:0060271","cilium assembly",165,11,2.44,0.00073,"Biological Processes",0.0666666666666667,"Private: All Outliers"
"LOC111124874","GO:0006412","translation",636,20,9.42,0.0131,"Biological Processes",0.0314465408805031,"Private: All Outliers"
"LOC111124927","GO:0006883","cellular sodium ion homeostasis",5,2,0.07,0.00212,"Biological Processes",0.4,"Private: All Outliers"
"LOC111124927","GO:0030007","cellular potassium ion homeostasis",5,2,0.07,0.00212,"Biological Processes",0.4,"Private: All Outliers"
"LOC111124927","GO:0036376","sodium ion export across plasma membrane",5,2,0.07,0.00212,"Biological Processes",0.4,"Private: All Outliers"
"LOC111124927","GO:1990573","potassium ion import across plasma membrane",16,2,0.24,0.02285,"Biological Processes",0.125,"Private: All Outliers"
"LOC111125289","GO:0048384","retinoic acid receptor signaling pathway",2,1,0.03,0.0294,"Biological Processes",0.5,"Private: All Outliers"
"LOC111125386","GO:0030433","ubiquitin-dependent ERAD pathway",48,3,0.71,0.03402,"Biological Processes",0.0625,"Private: All Outliers"
"LOC111125386","GO:0030970","retrograde protein transport, ER to cytosol",6,2,0.09,0.00315,"Biological Processes",0.333333333333333,"Private: All Outliers"
"LOC111125548","GO:0006412","translation",636,20,9.42,0.0131,"Biological Processes",0.0314465408805031,"Private: All Outliers"
"LOC111125573","GO:0016925","protein sumoylation",18,2,0.27,0.02858,"Biological Processes",0.111111111111111,"Private: All Outliers"
