"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.01,0.0108,"Biological Processes",1,"Private: CASE"
"LOC111100630","GO:0006883","cellular sodium ion homeostasis",5,2,0.05,0.0011,"Biological Processes",0.4,"Private: CASE"
"LOC111100630","GO:0030007","cellular potassium ion homeostasis",5,2,0.05,0.0011,"Biological Processes",0.4,"Private: CASE"
"LOC111100630","GO:0036376","sodium ion export across plasma membrane",5,2,0.05,0.0011,"Biological Processes",0.4,"Private: CASE"
"LOC111100630","GO:1990573","potassium ion import across plasma membrane",16,2,0.17,0.0126,"Biological Processes",0.125,"Private: CASE"
"LOC111100768","GO:1901006","ubiquinone-6 biosynthetic process",1,1,0.01,0.0108,"Biological Processes",1,"Private: CASE"
"LOC111102251","GO:0032509","endosome transport via multivesicular body sorting pathway",30,4,0.32,0.0039,"Biological Processes",0.133333333333333,"Private: CASE"
"LOC111102251","GO:0045324","late endosome to vacuole transport",35,4,0.38,0.0095,"Biological Processes",0.114285714285714,"Private: CASE"
"LOC111103304","GO:0071233","cellular response to leucine",2,1,0.02,0.0215,"Biological Processes",0.5,"Private: CASE"
"LOC111103304","GO:1901031","regulation of response to reactive oxygen species",2,1,0.02,0.0215,"Biological Processes",0.5,"Private: CASE"
"LOC111103304","GO:1990253","cellular response to leucine starvation",2,1,0.02,0.0215,"Biological Processes",0.5,"Private: CASE"
"LOC111103370","GO:0048791","calcium ion-regulated exocytosis of neurotransmitter",4,1,0.04,0.0426,"Biological Processes",0.25,"Private: CASE"
"LOC111103630","GO:0032509","endosome transport via multivesicular body sorting pathway",30,4,0.32,0.0039,"Biological Processes",0.133333333333333,"Private: CASE"
"LOC111103630","GO:0045324","late endosome to vacuole transport",35,4,0.38,0.0095,"Biological Processes",0.114285714285714,"Private: CASE"
"LOC111106953","GO:0060271","cilium assembly",165,6,1.79,0.0125,"Biological Processes",0.0363636363636364,"Private: CASE"
