gene_name	GeneOntologyIDs
LOC111099063	GO:0000209; GO:0000413; GO:0003755; GO:0006457; GO:0034450; GO:0071013
LOC111099982	GO:0005634; GO:0005737; GO:0031146; GO:0097602
LOC111099985	GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231
LOC111100257	GO:0000209; GO:0000785; GO:0005654; GO:0008270; GO:0043161; GO:0045893; GO:0061630
LOC111100268	GO:0033178; GO:0033178; GO:0046961; GO:0046961; GO:1902600; GO:1902600
LOC111100314	GO:0004445; GO:0046856
LOC111100516	GO:0004111; GO:0046314
LOC111100546	GO:0006511; GO:0016567; GO:0061630
LOC111100630	GO:0001671; GO:0005890; GO:0005890; GO:0006883; GO:0030007; GO:0036376; GO:1990573
LOC111100752	GO:0003729; GO:0005634
LOC111100768	GO:0005739; GO:0044877; GO:1901006
LOC111100879	GO:0042981
LOC111101020	GO:0003729; GO:0005634; GO:0048024
LOC111101190	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101967	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111102251	GO:0000815; GO:0005771; GO:0015031; GO:0032509; GO:0045324
LOC111102380	GO:0003723; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627
LOC111102414	GO:0000276; GO:0000276; GO:0015078; GO:0015078; GO:0015986; GO:0015986
LOC111102448	GO:0005747; GO:0006120; GO:0008137; GO:0010181; GO:0051287; GO:0051539
LOC111102673	GO:0000974; GO:0071013; GO:0071014
LOC111102970	GO:0005737; GO:0006470; GO:0008330; GO:0017017; GO:0017017; GO:0043409
LOC111103246	GO:0005096; GO:0005737; GO:0005886; GO:0017157; GO:0019905; GO:0031201; GO:0045159; GO:0050708
LOC111103304	GO:0005634; GO:0005634; GO:0016239; GO:0016684; GO:0070728; GO:0071233; GO:1901031; GO:1901031; GO:1904262; GO:1990253
LOC111103370	GO:0001786; GO:0005509; GO:0005544; GO:0014059; GO:0017158; GO:0019905; GO:0030276; GO:0030424; GO:0030672; GO:0031045; GO:0048488; GO:0048791; GO:0071277
LOC111103434	GO:0003676
