"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099063","GO:0000209","protein polyubiquitination",544,6,2.65,0.0489,"Biological Processes",0.0110294117647059,"Private: CA"
"LOC111100101","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111100129","GO:0006412","translation",636,10,3.1,0.0233,"Biological Processes",0.0157232704402516,"Private: CA"
"LOC111100257","GO:0000209","protein polyubiquitination",544,6,2.65,0.0489,"Biological Processes",0.0110294117647059,"Private: CA"
"LOC111101967","GO:0000209","protein polyubiquitination",544,6,2.65,0.0489,"Biological Processes",0.0110294117647059,"Private: CA"
"LOC111101967","GO:0017148","negative regulation of translation",250,4,1.22,0.0335,"Biological Processes",0.016,"Private: CA"
"LOC111103246","GO:0050708","regulation of protein secretion",8,1,0.04,0.0383,"Biological Processes",0.125,"Private: CA"
"LOC111103630","GO:0032509","endosome transport via multivesicular body sorting pathway",30,2,0.15,0.0425,"Biological Processes",0.0666666666666667,"Private: CA"
"LOC111105474","GO:0001707","mesoderm formation",1,1,0,0.0049,"Biological Processes",1,"Private: CA"
"LOC111105474","GO:0003007","heart morphogenesis",1,1,0,0.0049,"Biological Processes",1,"Private: CA"
"LOC111105474","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111107816","GO:0033211","adiponectin-activated signaling pathway",1,1,0,0.0049,"Biological Processes",1,"Private: CA"
"LOC111107987","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111110307","GO:0006699","bile acid biosynthetic process",3,1,0.01,0.0145,"Biological Processes",0.333333333333333,"Private: CA"
"LOC111110307","GO:0042632","cholesterol homeostasis",4,1,0.02,0.0193,"Biological Processes",0.25,"Private: CA"
"LOC111112210","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111112700","GO:0007032","endosome organization",10,1,0.05,0.0476,"Biological Processes",0.1,"Private: CA"
"LOC111112700","GO:0070536","protein K63-linked deubiquitination",10,1,0.05,0.0476,"Biological Processes",0.1,"Private: CA"
"LOC111112700","GO:0071108","protein K48-linked deubiquitination",8,1,0.04,0.0383,"Biological Processes",0.125,"Private: CA"
"LOC111115247","GO:0070475","rRNA base methylation",8,1,0.04,0.0383,"Biological Processes",0.125,"Private: CA"
"LOC111117352","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111117740","GO:0000209","protein polyubiquitination",544,6,2.65,0.0489,"Biological Processes",0.0110294117647059,"Private: CA"
"LOC111117740","GO:0017148","negative regulation of translation",250,4,1.22,0.0335,"Biological Processes",0.016,"Private: CA"
"LOC111117762","GO:0000209","protein polyubiquitination",544,6,2.65,0.0489,"Biological Processes",0.0110294117647059,"Private: CA"
"LOC111117762","GO:0017148","negative regulation of translation",250,4,1.22,0.0335,"Biological Processes",0.016,"Private: CA"
"LOC111118348","GO:0006412","translation",636,10,3.1,0.0233,"Biological Processes",0.0157232704402516,"Private: CA"
"LOC111119190","GO:0033387","putrescine biosynthetic process from ornithine",1,1,0,0.0049,"Biological Processes",1,"Private: CA"
"LOC111119660","GO:1904491","protein localization to ciliary transition zone",4,1,0.02,0.0193,"Biological Processes",0.25,"Private: CA"
"LOC111120733","GO:0043137","DNA replication, removal of RNA primer",4,1,0.02,0.0193,"Biological Processes",0.25,"Private: CA"
"LOC111121105","GO:0006857","oligopeptide transport",2,1,0.01,0.0097,"Biological Processes",0.5,"Private: CA"
"LOC111121134","GO:0030970","retrograde protein transport, ER to cytosol",6,1,0.03,0.0289,"Biological Processes",0.166666666666667,"Private: CA"
"LOC111121134","GO:0051228","mitotic spindle disassembly",2,1,0.01,0.0097,"Biological Processes",0.5,"Private: CA"
"LOC111121134","GO:0071712","ER-associated misfolded protein catabolic process",4,1,0.02,0.0193,"Biological Processes",0.25,"Private: CA"
"LOC111121134","GO:0097352","autophagosome maturation",9,1,0.04,0.043,"Biological Processes",0.111111111111111,"Private: CA"
"LOC111121848","GO:0006412","translation",636,10,3.1,0.0233,"Biological Processes",0.0157232704402516,"Private: CA"
"LOC111122730","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111122730","GO:0009887","animal organ morphogenesis",9,2,0.04,0.0378,"Biological Processes",0.222222222222222,"Private: CA"
"LOC111122730","GO:0009948","anterior/posterior axis specification",2,1,0.01,0.0097,"Biological Processes",0.5,"Private: CA"
"LOC111123410","GO:0048255","mRNA stabilization",4,1,0.02,0.0193,"Biological Processes",0.25,"Private: CA"
"LOC111123594","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111124399","GO:0044458","motile cilium assembly",6,1,0.03,0.0289,"Biological Processes",0.166666666666667,"Private: CA"
"LOC111124399","GO:0070286","axonemal dynein complex assembly",23,2,0.11,0.047,"Biological Processes",0.0869565217391304,"Private: CA"
"LOC111124838","GO:0061511","centriole elongation",5,1,0.02,0.0241,"Biological Processes",0.2,"Private: CA"
"LOC111125573","GO:0016925","protein sumoylation",18,2,0.09,0.0034,"Biological Processes",0.111111111111111,"Private: CA"
"LOC111126760","GO:0046069","cGMP catabolic process",5,1,0.02,0.0241,"Biological Processes",0.2,"Private: CA"
"LOC111128063","GO:0055001","muscle cell development",10,1,0.05,0.0476,"Biological Processes",0.1,"Private: CA"
"LOC111129313","GO:0000380","alternative mRNA splicing, via spliceosome",20,2,0.1,0.0191,"Biological Processes",0.1,"Private: CA"
"LOC111129446","GO:0048013","ephrin receptor signaling pathway",1,1,0,0.0049,"Biological Processes",1,"Private: CA"
"LOC111129828","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111129998","GO:0016925","protein sumoylation",18,2,0.09,0.0034,"Biological Processes",0.111111111111111,"Private: CA"
"LOC111130916","GO:0006357","regulation of transcription by RNA polymerase II",904,10,4.4,0.0171,"Biological Processes",0.0110619469026549,"Private: CA"
"LOC111133296","GO:0000209","protein polyubiquitination",544,6,2.65,0.0489,"Biological Processes",0.0110294117647059,"Private: CA"
"LOC111133296","GO:0017148","negative regulation of translation",250,4,1.22,0.0335,"Biological Processes",0.016,"Private: CA"
"LOC111134230","GO:0051639","actin filament network formation",6,1,0.03,0.0289,"Biological Processes",0.166666666666667,"Private: CA"
"LOC111134527","GO:0046599","regulation of centriole replication",7,1,0.03,0.0336,"Biological Processes",0.142857142857143,"Private: CA"
"LOC111135077","GO:0006412","translation",636,10,3.1,0.0233,"Biological Processes",0.0157232704402516,"Private: CA"
"LOC111135739","GO:0006432","phenylalanyl-tRNA aminoacylation",5,1,0.02,0.0241,"Biological Processes",0.2,"Private: CA"
"LOC111110034","GO:0001669","acrosomal vesicle",3,1,0.01,0.01363,"Cellular Components",0.333333333333333,"Private: CA"
"LOC111112700","GO:0030496","midbody",11,1,0.05,0.04908,"Cellular Components",0.0909090909090909,"Private: CA"
"LOC111112700","GO:0031313","extrinsic component of endosome membrane",5,1,0.02,0.02261,"Cellular Components",0.2,"Private: CA"
"LOC111112700","GO:0043197","dendritic spine",5,1,0.02,0.02261,"Cellular Components",0.2,"Private: CA"
"LOC111115975","GO:0005788","endoplasmic reticulum lumen",10,1,0.05,0.04472,"Cellular Components",0.1,"Private: CA"
"LOC111118348","GO:0022627","cytosolic small ribosomal subunit",35,3,0.16,0.00053,"Cellular Components",0.0857142857142857,"Private: CA"
"LOC111119660","GO:0005856","cytoskeleton",705,8,3.22,0.02605,"Cellular Components",0.0113475177304965,"Private: CA"
"LOC111119660","GO:0097546","ciliary base",8,1,0.04,0.03594,"Cellular Components",0.125,"Private: CA"
"LOC111121134","GO:0034098","VCP-NPL4-UFD1 AAA ATPase complex",2,1,0.01,0.00911,"Cellular Components",0.5,"Private: CA"
"LOC111121848","GO:0022627","cytosolic small ribosomal subunit",35,3,0.16,0.00053,"Cellular Components",0.0857142857142857,"Private: CA"
"LOC111124838","GO:0005814","centriole",48,2,0.22,0.0202,"Cellular Components",0.0416666666666667,"Private: CA"
"LOC111126090","GO:0005848","mRNA cleavage stimulating factor complex",1,1,0,0.00456,"Cellular Components",1,"Private: CA"
"LOC111128063","GO:0042995","cell projection",625,6,2.85,0.03037,"Cellular Components",0.0096,"Private: CA"
"LOC111129377","GO:0036157","outer dynein arm",6,1,0.03,0.02707,"Cellular Components",0.166666666666667,"Private: CA"
"LOC111129998","GO:0031510","SUMO activating enzyme complex",4,1,0.02,0.01813,"Cellular Components",0.25,"Private: CA"
"LOC111130916","GO:0034751","aryl hydrocarbon receptor complex",5,1,0.02,0.02261,"Cellular Components",0.2,"Private: CA"
"LOC111134230","GO:0005856","cytoskeleton",705,8,3.22,0.02605,"Cellular Components",0.0113475177304965,"Private: CA"
"LOC111134527","GO:0005814","centriole",48,2,0.22,0.0202,"Cellular Components",0.0416666666666667,"Private: CA"
"LOC111135077","GO:0022627","cytosolic small ribosomal subunit",35,3,0.16,0.00053,"Cellular Components",0.0857142857142857,"Private: CA"
"LOC111135411","GO:0005856","cytoskeleton",705,8,3.22,0.02605,"Cellular Components",0.0113475177304965,"Private: CA"
"LOC111099063","GO:0034450","ubiquitin-ubiquitin ligase activity",5,1,0.02,0.0195,"Molecular Functions",0.2,"Private: CA"
"LOC111100101","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,5,1.81,0.0347,"Molecular Functions",0.0108695652173913,"Private: CA"
"LOC111100101","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,8,2.42,0.0028,"Molecular Functions",0.0130081300813008,"Private: CA"
"LOC111101967","GO:0030371","translation repressor activity",233,4,0.92,0.0134,"Molecular Functions",0.0171673819742489,"Private: CA"
"LOC111103246","GO:0045159","myosin II binding",3,1,0.01,0.0117,"Molecular Functions",0.333333333333333,"Private: CA"
"LOC111105474","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,5,1.81,0.0347,"Molecular Functions",0.0108695652173913,"Private: CA"
"LOC111105474","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,8,2.42,0.0028,"Molecular Functions",0.0130081300813008,"Private: CA"
"LOC111107462","GO:0004697","protein kinase C activity",4,1,0.02,0.0156,"Molecular Functions",0.25,"Private: CA"
"LOC111107987","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,8,2.42,0.0028,"Molecular Functions",0.0130081300813008,"Private: CA"
"LOC111110485","GO:0004565","beta-galactosidase activity",5,1,0.02,0.0195,"Molecular Functions",0.2,"Private: CA"
"LOC111115975","GO:0003756","protein disulfide isomerase activity",10,1,0.04,0.0386,"Molecular Functions",0.1,"Private: CA"
"LOC111115975","GO:0015035","protein disulfide oxidoreductase activity",10,1,0.04,0.0386,"Molecular Functions",0.1,"Private: CA"
"LOC111117352","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,5,1.81,0.0347,"Molecular Functions",0.0108695652173913,"Private: CA"
