"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099108","GO:0016598","protein arginylation",2,1,0.01,0.0101,"Biological Processes",0.5,"Private: SE"
"LOC111100768","GO:1901006","ubiquinone-6 biosynthetic process",1,1,0.01,0.0051,"Biological Processes",1,"Private: SE"
"LOC111102426","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",16,2,0.08,0.0029,"Biological Processes",0.125,"Private: SE"
"LOC111103246","GO:0050708","regulation of protein secretion",8,1,0.04,0.0399,"Biological Processes",0.125,"Private: SE"
"LOC111103370","GO:0048791","calcium ion-regulated exocytosis of neurotransmitter",4,1,0.02,0.0201,"Biological Processes",0.25,"Private: SE"
"LOC111105474","GO:0001707","mesoderm formation",1,1,0.01,0.0051,"Biological Processes",1,"Private: SE"
"LOC111105474","GO:0003007","heart morphogenesis",1,1,0.01,0.0051,"Biological Processes",1,"Private: SE"
"LOC111106648","GO:0032958","inositol phosphate biosynthetic process",8,1,0.04,0.0399,"Biological Processes",0.125,"Private: SE"
"LOC111106649","GO:0008285","negative regulation of cell proliferation",10,1,0.05,0.0496,"Biological Processes",0.1,"Private: SE"
"LOC111106945","GO:0006334","nucleosome assembly",59,2,0.3,0.0361,"Biological Processes",0.0338983050847458,"Private: SE"
"LOC111107987","GO:0030154","cell differentiation",476,7,2.41,0.0473,"Biological Processes",0.0147058823529412,"Private: SE"
"LOC111115975","GO:0034976","response to endoplasmic reticulum stress",79,2,0.4,0.0444,"Biological Processes",0.0253164556962025,"Private: SE"
"LOC111117024","GO:0030154","cell differentiation",476,7,2.41,0.0473,"Biological Processes",0.0147058823529412,"Private: SE"
"LOC111118045","GO:0007017","microtubule-based process",412,8,2.09,0.0234,"Biological Processes",0.0194174757281553,"Private: SE"
"LOC111118667","GO:0006621","protein retention in ER lumen",3,1,0.02,0.0151,"Biological Processes",0.333333333333333,"Private: SE"
"LOC111119190","GO:0033387","putrescine biosynthetic process from ornithine",1,1,0.01,0.0051,"Biological Processes",1,"Private: SE"
"LOC111119594","GO:1904825","protein localization to microtubule plus-end",2,1,0.01,0.0101,"Biological Processes",0.5,"Private: SE"
"LOC111120134","GO:1904491","protein localization to ciliary transition zone",4,1,0.02,0.0201,"Biological Processes",0.25,"Private: SE"
"LOC111120496","GO:0035721","intraciliary retrograde transport",9,1,0.05,0.0447,"Biological Processes",0.111111111111111,"Private: SE"
"LOC111120648","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",16,2,0.08,0.0029,"Biological Processes",0.125,"Private: SE"
"LOC111121105","GO:0006857","oligopeptide transport",2,1,0.01,0.0101,"Biological Processes",0.5,"Private: SE"
"LOC111121712","GO:0032956","regulation of actin cytoskeleton organization",75,2,0.38,0.0298,"Biological Processes",0.0266666666666667,"Private: SE"
"LOC111121712","GO:0035020","regulation of Rac protein signal transduction",2,1,0.01,0.0101,"Biological Processes",0.5,"Private: SE"
"LOC111122730","GO:0009887","animal organ morphogenesis",9,2,0.05,0.0393,"Biological Processes",0.222222222222222,"Private: SE"
"LOC111122730","GO:0009948","anterior/posterior axis specification",2,1,0.01,0.0101,"Biological Processes",0.5,"Private: SE"
"LOC111122730","GO:0030154","cell differentiation",476,7,2.41,0.0473,"Biological Processes",0.0147058823529412,"Private: SE"
"LOC111123410","GO:0048255","mRNA stabilization",4,1,0.02,0.0201,"Biological Processes",0.25,"Private: SE"
"LOC111124399","GO:0044458","motile cilium assembly",6,1,0.03,0.03,"Biological Processes",0.166666666666667,"Private: SE"
"LOC111124399","GO:0070286","axonemal dynein complex assembly",23,2,0.12,0.006,"Biological Processes",0.0869565217391304,"Private: SE"
"LOC111125386","GO:0030970","retrograde protein transport, ER to cytosol",6,1,0.03,0.03,"Biological Processes",0.166666666666667,"Private: SE"
"LOC111125498","GO:0030031","cell projection assembly",179,6,0.91,0.0237,"Biological Processes",0.0335195530726257,"Private: SE"
"LOC111125544","GO:0035435","phosphate ion transmembrane transport",7,1,0.04,0.035,"Biological Processes",0.142857142857143,"Private: SE"
