LOC111099108	GO:0016598
LOC111100129	GO:0003924; GO:0003924; GO:0005525; GO:0006412
LOC111100257	GO:0000209; GO:0000785; GO:0005654; GO:0008270; GO:0043161; GO:0045893; GO:0061630
LOC111100268	GO:0033178; GO:0033178; GO:0046961; GO:0046961; GO:1902600; GO:1902600
LOC111100546	GO:0006511; GO:0016567; GO:0061630
LOC111100752	GO:0003729; GO:0005634
LOC111100768	GO:0005739; GO:0044877; GO:1901006
LOC111100879	GO:0042981
LOC111101190	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111102426	GO:0000381; GO:0003730; GO:0005634; GO:0005737; GO:0006376; GO:1990904
LOC111103246	GO:0005096; GO:0005737; GO:0005886; GO:0017157; GO:0019905; GO:0031201; GO:0045159; GO:0050708
LOC111103275	GO:0005856
LOC111103370	GO:0001786; GO:0005509; GO:0005544; GO:0014059; GO:0017158; GO:0019905; GO:0030276; GO:0030424; GO:0030672; GO:0031045; GO:0048488; GO:0048791; GO:0071277
LOC111103630	GO:0000815; GO:0005771; GO:0015031; GO:0032509; GO:0045324
LOC111103655	GO:0003723; GO:0016607; GO:0048786
LOC111103668	GO:0005737; GO:0006457; GO:0019901; GO:0031072; GO:0050821; GO:0051082; GO:0051087
LOC111103995	GO:0005319; GO:0005515; GO:0006869
LOC111105474	GO:0000978; GO:0000981; GO:0001707; GO:0001708; GO:0003007; GO:0005634; GO:0006357; GO:0045893
LOC111106222	GO:0008270
LOC111106506	GO:0005515
LOC111106588	GO:0004252; GO:0005515; GO:0005615
LOC111106648	GO:0005524; GO:0005524; GO:0005634; GO:0032958; GO:0035299; GO:0035299
LOC111106649	GO:0005634; GO:0005737; GO:0008285; GO:0045930
LOC111106945	GO:0000785; GO:0003682; GO:0005634; GO:0005634; GO:0006334; GO:0006334; GO:0042393
LOC111107462	GO:0004697; GO:0005524; GO:0006468
LOC111107987	GO:0000981; GO:0004930; GO:0005515; GO:0005634; GO:0006357; GO:0007186; GO:0016020; GO:0030154; GO:0043565
LOC111108281	GO:0004672; GO:0005515; GO:0005524; GO:0006468; GO:0007165
LOC111109745	GO:0003774; GO:0004100; GO:0005524; GO:0006038; GO:0016459; GO:0030428; GO:0071944
LOC111110034	GO:0001669; GO:0005515; GO:0031514; GO:0060271
LOC111110081	GO:0005515; GO:0008270
LOC111111852	GO:0005515; GO:0008270
LOC111112210	GO:0003712; GO:0003712; GO:0006357; GO:0006357; GO:0016592; GO:0016592
LOC111113026	GO:0004197; GO:0005615; GO:0005764; GO:0051603
LOC111113334	GO:0007155; GO:0030198; GO:0031012; GO:0050839
LOC111115975	GO:0003756; GO:0003756; GO:0005788; GO:0015035; GO:0034976
LOC111117024	GO:0000978; GO:0000981; GO:0006357; GO:0007179; GO:0007179; GO:0009653; GO:0030154; GO:0030509; GO:0060395; GO:0070411; GO:0071144
LOC111117352	GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0006357
LOC111117742	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111118011	GO:0003676; GO:0005634; GO:0006397; GO:0006511; GO:0008270; GO:0016567; GO:0061630
LOC111118045	GO:0007017; GO:0007017; GO:0030286; GO:0030286; GO:0045505; GO:0051959
LOC111118348	GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627
LOC111118667	GO:0005783; GO:0005801; GO:0006621; GO:0006621; GO:0006888; GO:0016020; GO:0016020; GO:0046923; GO:0046923
LOC111118850	GO:0005509; GO:0005515; GO:0005737; GO:0005886; GO:0006897; GO:0016197
LOC111119190	GO:0004586; GO:0005737; GO:0033387
LOC111119594	GO:0005815; GO:0005881; GO:0031110; GO:0035371; GO:0051010; GO:0051225; GO:0051233; GO:1904825
LOC111119905	GO:0005515
LOC111120134	GO:0035869; GO:1904491; GO:1905515
LOC111120496	GO:0005515; GO:0005930; GO:0030991; GO:0035721; GO:0036064
LOC111120648	GO:0000381; GO:0003729; GO:0005634
LOC111120879	GO:0005829; GO:0005854; GO:0042788
LOC111121105	GO:0006857; GO:0016020; GO:0022857; GO:0055085
LOC111121709	GO:0005245; GO:0005891
LOC111121712	GO:0005096; GO:0005515; GO:0005622; GO:0005737; GO:0007165; GO:0032956; GO:0035020; GO:0043547
LOC111122730	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0009790; GO:0009887; GO:0009948; GO:0030154
LOC111122937	GO:0005764; GO:0016790
LOC111123410	GO:0000339; GO:0005829; GO:0010494; GO:0045727; GO:0048255
LOC111123867	GO:0003735; GO:0022627
LOC111124399	GO:0044458; GO:0070286
