"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111099093","GO:0060271","cilium assembly",165,12,4.56,0.0221,"Biological Processes",0.0727272727272727,"SE"
"LOC111100197","GO:0000209","protein polyubiquitination",544,37,15.04,4.4e-07,"Biological Processes",0.0680147058823529,"SE"
"LOC111100197","GO:0017148","negative regulation of translation",250,25,6.91,1.1e-07,"Biological Processes",0.1,"SE"
"LOC111100197","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,42,18.11,3.4e-07,"Biological Processes",0.0641221374045802,"SE"
"LOC111100257","GO:0000209","protein polyubiquitination",544,37,15.04,4.4e-07,"Biological Processes",0.0680147058823529,"SE"
"LOC111100257","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,42,18.11,3.4e-07,"Biological Processes",0.0641221374045802,"SE"
"LOC111100268","GO:1902600","proton transmembrane transport",89,8,2.46,0.0057,"Biological Processes",0.0898876404494382,"SE"
"LOC111100412","GO:0000209","protein polyubiquitination",544,37,15.04,4.4e-07,"Biological Processes",0.0680147058823529,"SE"
"LOC111100412","GO:0017148","negative regulation of translation",250,25,6.91,1.1e-07,"Biological Processes",0.1,"SE"
"LOC111100412","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,42,18.11,3.4e-07,"Biological Processes",0.0641221374045802,"SE"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.03,0.0277,"Biological Processes",1,"SE"
"LOC111100546","GO:0006511","ubiquitin-dependent protein catabolic process",750,50,20.74,0.0146,"Biological Processes",0.0666666666666667,"SE"
"LOC111100598","GO:0006457","protein folding",130,10,3.6,0.0025,"Biological Processes",0.0769230769230769,"SE"
"LOC111100768","GO:1901006","ubiquinone-6 biosynthetic process",1,1,0.03,0.0277,"Biological Processes",1,"SE"
"LOC111100788","GO:0048024","regulation of mRNA splicing, via spliceosome",26,4,0.72,0.0294,"Biological Processes",0.153846153846154,"SE"
"LOC111100882","GO:0000209","protein polyubiquitination",544,37,15.04,4.4e-07,"Biological Processes",0.0680147058823529,"SE"
"LOC111100882","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,42,18.11,3.4e-07,"Biological Processes",0.0641221374045802,"SE"
"LOC111100927","GO:0000209","protein polyubiquitination",544,37,15.04,4.4e-07,"Biological Processes",0.0680147058823529,"SE"
"LOC111100927","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,42,18.11,3.4e-07,"Biological Processes",0.0641221374045802,"SE"
"LOC111101050","GO:0048015","phosphatidylinositol-mediated signaling",14,3,0.39,0.0061,"Biological Processes",0.214285714285714,"SE"
