Sample ID	Block	Time	Jar	Treatment	Measurement Date	Measurer Name	Larval Stage	Length	Height	Circumference 	Alive/Dead	Normal.Deformed
CS.B06.T00.J01 7.19.18-0001	B06	T00	J01	CASE	6/17/2019	Melati Tarrant	Trochophore	0.041	0.065	0.181	Alive	Normal
CS.B06.T00.J01 7.19.18-0002	B06	T00	J01	CASE	6/17/2019	Melati Tarrant	Trochophore	0.054	0.065	0.195	Alive	Normal
CS.B06.T00.J01 7.19.18-0003	B06	T00	J01	CASE	6/17/2019	Melati Tarrant	Trochophore	0.041	0.039	0.139	Alive	Normal
CS.B06.T00.J02 7.21.18-0001	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.052	0.054	0.163	Alive	Normal
CS.B06.T00.J02 7.21.18-0002	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.051	0.058	0.180	Alive	Normal
CS.B06.T00.J02 7.21.18-0004	B06	T00	J02	CON	6/17/2019	Melati Tarrant	D-Stage	0.029	0.052	0.180	Alive	Normal
CS.B06.T00.J02 7.21.18-0005	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.071	0.059	0.203	Alive	Normal
CS.B06.T00.J02 7.21.18-0006	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.053	0.054	0.174	Alive	Normal
CS.B06.T00.J02 7.21.18-0007	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.058	0.053	0.173	Alive	Normal
CS.B06.T00.J02 7.21.18-0008	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.057	0.054	0.182	Alive	Normal
CS.B06.T00.J02 7.21.18-0009	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.053	0.058	0.188	Alive	Normal
CS.B06.T00.J02 7.21.18-0010 A	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.061	0.050	0.187	Alive	Normal
CS.B06.T00.J02 7.21.18-0011	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.056	0.058	0.187	Alive	Normal
CS.B06.T00.J02 7.21.18-0012	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.054	0.068	0.207	Alive	Normal
CS.B06.T00.J02 7.21.18-0013	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.053	0.052	0.175	Alive	Normal
CS.B06.T00.J02 7.21.18-0014	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.063	0.051	0.187	Alive	Normal
CS.B06.T00.J02 7.21.18-0015	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.055	0.054	0.173	Alive	Normal
CS.B06.T00.J02 7.21.18-0016	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.057	0.056	0.174	Alive	Normal
CS.B06.T00.J02 7.21.18-0017	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.061	0.053	0.178	Alive	Normal
CS.B06.T00.J02 7.21.18-0018	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.054	0.061	0.189	Alive	Normal
CS.B06.T00.J02 7.21.18-0019	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.057	0.053	0.172	Alive	Normal
CS.B06.T00.J02 7.21.18-0020	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.050	0.060	0.173	Alive	Normal
CS.B06.T00.J02 7.21.18-0021	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.055	0.052	0.177	Alive	Normal
CS.B06.T00.J02 7.21.18-0022	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.056	0.057	0.196	Alive	Normal
CS.B06.T00.J02 7.21.18-0023	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.059	0.053	0.176	Alive	Normal
CS.B06.T00.J02 7.21.18-0024	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.057	0.058	0.178	Alive	Normal
CS.B06.T00.J02 7.21.18-0025 A	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.054	0.061	0.175	Alive	Normal
CS.B06.T00.J02 7.21.18-0025 B	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.055	0.056	0.179	Alive	Normal
CS.B06.T00.J02 7.21.18-0026	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.059	0.056	0.177	Alive	Normal
CS.B06.T00.J02 7.21.18-0027	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.055	0.057	0.185	Alive	Normal
CS.B06.T00.J02 7.21.18-0028	B06	T00	J02	CON	6/17/2019	Melati Tarrant	Trochophore	0.055	0.056	0.176	Alive	Normal
CS.B06.T00.J03 7.21.18-0002	B06	T00	J03	SE	6/17/2019	Melati Tarrant	Trochophore	0.051	0.056	0.169	Alive	Normal
CS.B06.T00.J03 7.21.18-0003	B06	T00	J03	SE	6/17/2019	Melati Tarrant	Trochophore	0.051	0.064	0.177	Alive	Normal
CS.B06.T00.J03 7.21.18-0004	B06	T00	J03	SE	6/17/2019	Melati Tarrant	Trochophore	0.067	0.077	0.244	Alive	Normal
CS.B06.T00.J03 7.21.18-0006	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.055	0.054	0.174	Alive	Normal
CS.B06.T00.J03 7.21.18-0007	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.054	0.161	Alive	Normal
CS.B06.T00.J03 7.21.18-0008	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.053	0.056	0.175	Alive	Normal
CS.B06.T00.J03 7.21.18-0009	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.059	0.172	Alive	Normal
CS.B06.T00.J03 7.21.18-0010	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.054	0.059	0.175	Alive	Normal
CS.B06.T00.J03 7.21.18-0012	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.056	0.175	Alive	Normal
CS.B06.T00.J03 7.21.18-0014	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.059	0.054	0.187	Alive	Normal
CS.B06.T00.J03 7.21.18-0015	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.050	0.059	0.186	Alive	Normal
CS.B06.T00.J03 7.21.18-0016	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.055	0.056	0.172	Alive	Normal
CS.B06.T00.J03 7.21.18-0017	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.053	0.058	0.174	Alive	Normal
CS.B06.T00.J03 7.21.18-0018	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.052	0.052	0.179	Alive	Normal
CS.B06.T00.J03 7.21.18-0019	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.052	0.059	0.175	Alive	Normal
CS.B06.T00.J03 7.21.18-0020 A	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.054	0.063	0.177	Alive	Normal
CS.B06.T00.J03 7.21.18-0020 B	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.056	0.051	0.166	Alive	Normal
CS.B06.T00.J03 7.21.18-0021	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.056	0.053	0.170	Alive	Normal
CS.B06.T00.J03 7.21.18-0022	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.055	0.066	0.197	Alive	Normal
CS.B06.T00.J03 7.21.18-0023	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.057	0.055	0.193	Alive	Normal
CS.B06.T00.J03 7.21.18-0024	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.049	0.056	0.169	Alive	Normal
CS.B06.T00.J03 7.21.18-0025	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.055	0.055	0.192	Alive	Normal
CS.B06.T00.J03 7.21.18-0026	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	0.029	0.031	0.101	Alive	Normal
CS.B06.T00.J04 7.23.18-0001	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.054	0.059	0.173	Alive	Normal
CS.B06.T00.J04 7.23.18-0002	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.055	0.061	0.187	Alive	Normal
CS.B06.T00.J04 7.23.18-0003	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.053	0.061	0.181	Alive	Normal
CS.B06.T00.J04 7.23.18-0004	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.060	0.183	Alive	Normal
CS.B06.T00.J04 7.23.18-0005	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.054	0.059	0.182	Alive	Normal
CS.B06.T00.J04 7.23.18-0006	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.056	0.060	0.178	Alive	Normal
CS.B06.T00.J04 7.23.18-0007	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.060	0.052	0.185	Alive	Normal
CS.B06.T00.J04 7.23.18-0008	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.067	0.183	Alive	Normal
CS.B06.T00.J04 7.23.18-0009	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.054	0.162	Alive	Normal
CS.B06.T00.J04 7.23.18-0010	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.053	0.063	0.183	Alive	Normal
CS.B06.T00.J04 7.23.18-0011	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.048	0.056	0.167	Alive	Normal
CS.B06.T00.J04 7.23.18-0012	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.055	0.065	0.178	Alive	Normal
CS.B06.T00.J04 7.23.18-0013	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.062	0.186	Alive	Normal
CS.B06.T00.J04 7.23.18-0014	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.054	0.059	0.182	Alive	Normal
CS.B06.T00.J04 7.23.18-0015	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.056	0.061	0.177	Alive	Normal
CS.B06.T00.J04 7.23.18-0016 A	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.052	0.060	0.180	Alive	Normal
CS.B06.T00.J04 7.23.18-0016 B	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.054	0.051	0.177	Alive	Normal
CS.B06.T00.J04 7.23.18-0017	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.039	0.039	0.131	Alive	Normal
CS.B06.T00.J04 7.23.18-0018	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.051	0.056	0.177	Alive	Normal
CS.B06.T00.J04 7.23.18-0019	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.048	0.057	0.178	Alive	Normal
CS.B06.T00.J04 7.23.18-0020	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.052	0.061	0.182	Alive	Normal
CS.B06.T00.J04 7.23.18-0021	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.053	0.058	0.174	Alive	Normal
CS.B06.T00.J04 7.23.18-0022	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.040	0.061	0.175	Alive	Normal
CS.B06.T00.J04 7.23.18-0023	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.055	0.054	0.182	Alive	Normal
CS.B06.T00.J04 7.23.18-0024	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.057	0.058	0.178	Alive	Normal
CS.B06.T00.J04 7.23.18-0025	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.059	0.057	0.189	Alive	Normal
CS.B06.T00.J04 7.23.18-0026 A	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.056	0.052	0.175	Alive	Normal
CS.B06.T00.J04 7.23.18-0026 B	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.041	0.069	0.180	Alive	Normal
CS.B06.T00.J04 7.23.18-0027	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	0.057	0.054	0.180	Alive	Normal
CS.B06.T00.J05 7.23.18-0001	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.046	0.044	0.129	Alive	Normal
CS.B06.T00.J05 7.23.18-0002	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.029	0.046	0.121	Alive	Deformed
CS.B06.T00.J05 7.23.18-0003	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.051	0.060	0.178	Alive	Normal
CS.B06.T00.J05 7.23.18-0004	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.055	0.053	0.179	Alive	Normal
CS.B06.T00.J05 7.23.18-0005	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.043	0.056	0.154	Alive	Normal
CS.B06.T00.J05 7.23.18-0006	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.062	0.055	0.181	Alive	Normal
CS.B06.T00.J05 7.23.18-0007	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.060	0.053	0.185	Alive	Normal
CS.B06.T00.J05 7.23.18-0008	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	NA	NA	NA	Alive	Normal
CS.B06.T00.J05 7.23.18-0010	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.071	0.078	0.221	Alive	Normal
CS.B06.T00.J05 7.23.18-0011	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.053	0.057	0.163	Alive	Normal
CS.B06.T00.J05 7.23.18-0012	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.049	0.071	0.187	Alive	Normal
CS.B06.T00.J05 7.23.18-0013	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	0.052	0.057	0.172	Alive	Normal
CS.B06.T00.J05 7.23.18-0014	B06	T00	J05	CA	6/19/2019	Melati Tarrant	D-Stage	0.052	0.060	0.222	Alive	Normal
CS.B06.T00.J05 7.23.18-0015	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.061	0.061	0.198	Alive	Normal
CS.B06.T00.J05 7.23.18-0016	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.054	0.053	0.178	Alive	Normal
CS.B06.T00.J05 7.23.18-0017	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.052	0.065	0.188	Alive	Normal
CS.B06.T00.J05 7.23.18-0018	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.049	0.061	0.187	Alive	Normal
CS.B06.T00.J05 7.23.18-0019	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.049	0.062	0.179	Alive	Normal
CS.B06.T00.J05 7.23.18-0019	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.054	0.057	0.190	Alive	Normal
CS.B06.T00.J05 7.23.18-0020	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.051	0.056	0.172	Alive	Normal
CS.B06.T00.J05 7.23.18-0021	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.056	0.062	0.188	Alive	Normal
CS.B06.T00.J05 7.23.18-0022	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.053	0.059	0.187	Alive	Normal
CS.B06.T00.J05 7.23.18-0022	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.055	0.060	0.182	Alive	Normal
CS.B06.T00.J05 7.23.18-0023	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.056	0.061	0.186	Alive	Normal
CS.B06.T00.J05 7.23.18-0024	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.057	0.058	0.177	Alive	Normal
CS.B06.T00.J05 7.23.18-0025	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.053	0.056	0.182	Alive	Normal
CS.B06.T00.J05 7.23.18-0025	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.040	0.070	0.170	Alive	Normal
CS.B06.T00.J05 7.23.18-0026	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.057	0.054	0.187	Alive	Normal
CS.B06.T00.J05 7.23.18-0027	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.055	0.054	0.175	Alive	Normal
CS.B06.T00.J05 7.23.18-0028	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.057	0.051	0.171	Alive	Normal
CS.B06.T00.J05 7.23.18-0030 A	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.051	0.059	0.189	Alive	Normal
CS.B06.T00.J05 7.23.18-0030 B	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	0.055	0.048	0.172	Alive	Normal
CS.B06.T00.J06 7.24.18-0001	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.053	0.053	0.162	Alive	Normal
CS.B06.T00.J06 7.24.18-0003	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.058	0.054	0.174	Alive	Normal
CS.B06.T00.J06 7.24.18-0004	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.049	0.067	0.194	Alive	Normal
CS.B06.T00.J06 7.24.18-0005	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.066	0.055	0.201	Alive	Normal
CS.B06.T00.J06 7.24.18-0006	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.056	0.060	0.183	Alive	Normal
CS.B06.T00.J06 7.24.18-0008	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.051	0.061	0.175	Alive	Normal
CS.B06.T00.J06 7.24.18-0009	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.049	0.054	0.173	Alive	Normal
CS.B06.T00.J06 7.24.18-0011	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.066	0.058	0.199	Alive	Normal
