LOC111099093	GO:0005930; GO:0036064; GO:0060271
LOC111099108	GO:0016598
LOC111099218	GO:0005515
LOC111099262	GO:0005044; GO:0007154; GO:0016020
LOC111099936	GO:0005515; GO:0005615
LOC111099982	GO:0005634; GO:0005737; GO:0031146; GO:0097602
LOC111099985	GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231
LOC111100034	GO:0004713; GO:0005524; GO:0005634; GO:0006468; GO:0006468; GO:0043484
LOC111100129	GO:0003924; GO:0003924; GO:0005525; GO:0006412
LOC111100197	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100257	GO:0000209; GO:0000785; GO:0005654; GO:0008270; GO:0043161; GO:0045893; GO:0061630
LOC111100268	GO:0033178; GO:0033178; GO:0046961; GO:0046961; GO:1902600; GO:1902600
LOC111100412	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100419	GO:0005576; GO:0008270
LOC111100516	GO:0004111; GO:0046314
LOC111100546	GO:0006511; GO:0016567; GO:0061630
LOC111100547	GO:0000463; GO:0003676; GO:0003724; GO:0005524; GO:0005730
LOC111100561	GO:0004197; GO:0004843; GO:0004843; GO:0005634; GO:0005829; GO:0016477; GO:0016579; GO:0016579
LOC111100598	GO:0005524; GO:0005832; GO:0006457; GO:0006457; GO:0016887; GO:0051082; GO:0051082; GO:0140662; GO:0140662
LOC111100708	GO:0003735; GO:0003735; GO:0005730; GO:0005840; GO:0006412; GO:0022627; GO:0070181
LOC111100752	GO:0003729; GO:0005634
LOC111100765	GO:0005198; GO:0005515; GO:0005737; GO:0005856; GO:0005882; GO:0016020; GO:0042060; GO:0045104
LOC111100768	GO:0005739; GO:0044877; GO:1901006
LOC111100788	GO:0003729; GO:0005634; GO:0048024
LOC111100879	GO:0042981
LOC111100882	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111100927	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111101025	GO:0003723; GO:0003724; GO:0003724; GO:0005524
LOC111101027	GO:0003924; GO:0005525
LOC111101036	GO:0005856; GO:0005886; GO:0014069; GO:0051015
LOC111101050	GO:0004435; GO:0004435; GO:0005509; GO:0006629; GO:0048015
LOC111101100	GO:0005179; GO:0005576
LOC111101112	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101188	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101190	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101228	GO:0005813; GO:0008017; GO:0008017; GO:0042802; GO:0043015
LOC111101564	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111101808	GO:0005515; GO:0005737; GO:0031514; GO:0044782
LOC111101876	GO:0003713; GO:0005515; GO:0005634; GO:0005737; GO:0035329; GO:0045944
LOC111101967	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111102071	GO:0004439; GO:0016020; GO:0046856; GO:0046856; GO:0052745
LOC111102335	GO:0003924; GO:0005525; GO:0005768; GO:0005794
LOC111102426	GO:0000381; GO:0003730; GO:0005634; GO:0005737; GO:0006376; GO:1990904
LOC111102659	GO:0005739
LOC111103020	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111103170	GO:0003729; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0017148; GO:0022625
LOC111103246	GO:0005096; GO:0005737; GO:0005886; GO:0017157; GO:0019905; GO:0031201; GO:0045159; GO:0050708
LOC111103275	GO:0005856
LOC111103370	GO:0001786; GO:0005509; GO:0005544; GO:0014059; GO:0017158; GO:0019905; GO:0030276; GO:0030424; GO:0030672; GO:0031045; GO:0048488; GO:0048791; GO:0071277
LOC111103482	GO:0005085; GO:0005515
